Accuracy,Accuracy Validation,Loss,Loss Validation,,,,,,,,,,,
Number Of features = ,5,,,,,84.00%,75.24%,0.38386,0.65992,,0.095742711,0.0714,0.157432493,0.346226462
,,,,,,,,,,,,,,
80.00%,76.19%,0.4591,0.4588,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,66.67%,0.4006,1.1673,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,80.95%,0.107,0.4359,,,,,,,,,,,
,,,,,,,,,,,,,,
80.00%,66.67%,0.3871,0.823,,,,,,,,,,,
,,,,,,,,,,,,,,
70.00%,85.71%,0.5655,0.4146,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,6,,,,,82.00%,83.81%,0.44336,0.52502,,0.170782513,0.0238,0.328309451,0.093329501
,,,,,,,,,,,,,,
90.00%,85.71%,0.2897,0.4692,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,80.95%,0.1106,0.611,,,,,,,,,,,
,,,,,,,,,,,,,,
80.00%,85.71%,0.5224,0.3956,,,,,,,,,,,
,,,,,,,,,,,,,,
60.00%,85.71%,0.871,0.4383,,,,,,,,,,,
,,,,,,,,,,,,,,
80.00%,80.95%,0.4231,0.711,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,7,,,,,94.00%,79.05%,0.19962,0.60168,,0.095742711,0.14804266,0.180585979,0.320322202
,,,,,,,,,,,,,,
100.00%,71.43%,0.064,0.9429,,,,,,,,,,,
,,,,,,,,,,,,,,
80.00%,100.00%,0.4127,0.2048,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,66.67%,0.3446,0.7965,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,76.19%,0.0754,0.5918,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,80.95%,0.1014,0.4724,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,8,,,,,96.00%,81.90%,0.1831,0.59,,0.057735027,0.067363708,0.108703921,0.147908854
,,,,,,,,,,,,,,
90.00%,76.19%,0.3176,0.7909,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,76.19%,0.2913,0.5796,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,90.48%,0.1326,0.4372,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,80.95%,0.1038,0.6578,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.0702,0.4845,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,9,,,,,96.00%,80.95%,0.13188,0.57354,,0.057735027,0.113359675,0.092676696,0.25422692
,,,,,,,,,,,,,,
100.00%,61.90%,0.0599,1.0238,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.0421,0.4721,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,85.71%,0.1753,0.5223,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,80.95%,0.2353,0.571,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,90.48%,0.1468,0.2785,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,10,,,,,98.00%,87.62%,0.0574,0.43664,,0.05,0.04765,0.041883997,0.161875248
,,,,,,,,,,,,,,
90.00%,95.24%,0.1187,0.2058,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.0644,0.4621,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.0378,0.5415,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.0238,0.5539,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.0423,0.4199,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,11,,,,,96.00%,80.95%,0.14948,0.67534,,0.057735027,0.090149376,0.092987504,0.306022247
,,,,,,,,,,,,,,
100.00%,90.48%,0.1017,0.6664,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,71.43%,0.2916,0.9951,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.0923,0.4249,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,90.48%,0.1913,0.3003,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,66.67%,0.0705,0.99,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,12,,,,,96.00%,85.71%,0.07132,0.43272,,0.05,0.059928478,0.041775471,0.293683746
,,,,,,,,,,,,,,
