Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |       30.00% |       38.10% |       1.1503 |       1.0979 |          0.0010 |
|       5 |          50 |       00:00:25 |       50.00% |       57.14% |       0.8446 |       0.8593 |          0.0010 |
|      10 |         100 |       00:00:48 |       70.00% |       57.14% |       0.7121 |       0.9473 |          0.0010 |
|      14 |         150 |       00:01:12 |       60.00% |       57.14% |       0.8932 |       0.9745 |          0.0001 |
|      19 |         200 |       00:01:35 |       70.00% |       61.90% |       0.6568 |       0.8738 |          0.0001 |
|      23 |         250 |       00:01:58 |       70.00% |       61.90% |       0.7381 |       0.9227 |      1.0000e-05 |
|      28 |         300 |       00:02:22 |       80.00% |       57.14% |       0.5397 |       0.8739 |      1.0000e-05 |
|      32 |         350 |       00:02:46 |       80.00% |       57.14% |       0.8549 |       0.8922 |      1.0000e-06 |
|      37 |         400 |       00:03:09 |       60.00% |       52.38% |       0.6591 |       0.9336 |      1.0000e-06 |
|      41 |         450 |       00:03:33 |       80.00% |       61.90% |       0.6709 |       0.8974 |      1.0000e-07 |
|      46 |         500 |       00:03:56 |       90.00% |       57.14% |       0.4325 |       0.8761 |      1.0000e-07 |
|      50 |         550 |       00:04:20 |       80.00% |       61.90% |       0.7000 |       0.8241 |      1.0000e-07 |
|      55 |         600 |       00:04:43 |       70.00% |       61.90% |       0.7502 |       0.8204 |      1.0000e-08 |
|      60 |         650 |       00:05:07 |       80.00% |       57.14% |       0.4537 |       0.8793 |      1.0000e-08 |
|      64 |         700 |       00:05:30 |       90.00% |       52.38% |       0.4030 |       0.8981 |      1.0000e-09 |
|      69 |         750 |       00:05:54 |       90.00% |       57.14% |       0.3706 |       0.8791 |      1.0000e-09 |
|      73 |         800 |       00:06:17 |       70.00% |       57.14% |       0.5321 |       0.8412 |      1.0000e-10 |
|      78 |         850 |       00:06:41 |       60.00% |       57.14% |       0.8253 |       0.8633 |      1.0000e-10 |
|      82 |         900 |       00:07:05 |       80.00% |       57.14% |       0.7510 |       0.8745 |      1.0000e-11 |
|      87 |         950 |       00:07:29 |       90.00% |       57.14% |       0.3899 |       0.8812 |      1.0000e-11 |
|      91 |        1000 |       00:07:52 |       80.00% |       57.14% |       0.5198 |       0.8870 |      1.0000e-12 |
|      96 |        1050 |       00:08:16 |       80.00% |       52.38% |       0.5275 |       0.9264 |      1.0000e-12 |
|     100 |        1100 |       00:08:40 |       70.00% |       52.38% |       0.5927 |       0.9264 |      1.0000e-12 |
|======================================================================================================================|
