Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |       50.00% |       19.05% |       1.1581 |       1.2249 |          0.0010 |
|       5 |          50 |       00:00:25 |       80.00% |       80.95% |       0.6095 |       0.4526 |          0.0010 |
|      10 |         100 |       00:00:50 |      100.00% |       76.19% |       0.0821 |       0.7429 |          0.0010 |
|      14 |         150 |       00:01:14 |      100.00% |       85.71% |       0.0387 |       0.3037 |          0.0001 |
|      19 |         200 |       00:01:39 |      100.00% |       90.48% |       0.0990 |       0.2966 |          0.0001 |
|      23 |         250 |       00:02:04 |       90.00% |       90.48% |       0.2003 |       0.2590 |      1.0000e-05 |
|      28 |         300 |       00:02:29 |       90.00% |       85.71% |       0.1238 |       0.4100 |      1.0000e-05 |
|      32 |         350 |       00:02:54 |       90.00% |       95.24% |       0.1045 |       0.5245 |      1.0000e-06 |
|      37 |         400 |       00:03:19 |       90.00% |       85.71% |       0.1315 |       0.3430 |      1.0000e-06 |
|      41 |         450 |       00:03:43 |       90.00% |       90.48% |       0.2658 |       0.2662 |      1.0000e-07 |
|      46 |         500 |       00:04:08 |       90.00% |       85.71% |       0.2168 |       0.3134 |      1.0000e-07 |
|      50 |         550 |       00:04:33 |       90.00% |       90.48% |       0.2450 |       0.2997 |      1.0000e-07 |
|      55 |         600 |       00:04:59 |       90.00% |       95.24% |       0.2601 |       0.2386 |      1.0000e-08 |
|      60 |         650 |       00:05:24 |      100.00% |       90.48% |       0.0150 |       0.2663 |      1.0000e-08 |
|      64 |         700 |       00:05:49 |      100.00% |       90.48% |       0.0148 |       0.2994 |      1.0000e-09 |
|      69 |         750 |       00:06:14 |      100.00% |       90.48% |       0.0166 |       0.2997 |      1.0000e-09 |
|      73 |         800 |       00:06:38 |       90.00% |       95.24% |       0.1885 |       0.5257 |      1.0000e-10 |
|      78 |         850 |       00:07:03 |       80.00% |       85.71% |       0.4219 |       0.3441 |      1.0000e-10 |
|      82 |         900 |       00:07:27 |      100.00% |       95.24% |       0.0416 |       0.2139 |      1.0000e-11 |
|      87 |         950 |       00:07:52 |      100.00% |       85.71% |       0.0459 |       0.3270 |      1.0000e-11 |
|      91 |        1000 |       00:08:17 |       90.00% |       85.71% |       0.1106 |       0.3409 |      1.0000e-12 |
|      96 |        1050 |       00:08:42 |      100.00% |       90.48% |       0.0214 |       0.2555 |      1.0000e-12 |
|     100 |        1100 |       00:09:06 |       90.00% |       90.48% |       0.3167 |       0.2623 |      1.0000e-12 |
|======================================================================================================================|
