Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |       30.00% |       57.14% |       1.1615 |       1.0289 |          0.0010 |
|       5 |          50 |       00:00:25 |      100.00% |       76.19% |       0.1540 |       0.5592 |          0.0010 |
|      10 |         100 |       00:00:51 |       90.00% |      100.00% |       0.1191 |       0.0745 |          0.0010 |
|      14 |         150 |       00:01:15 |       90.00% |      100.00% |       0.1979 |       0.0648 |          0.0001 |
|      19 |         200 |       00:01:40 |      100.00% |       90.48% |       0.0109 |       0.1993 |          0.0001 |
|      23 |         250 |       00:02:05 |      100.00% |       90.48% |       0.0102 |       0.1821 |      1.0000e-05 |
|      28 |         300 |       00:02:30 |      100.00% |       95.24% |       0.0126 |       0.1686 |      1.0000e-05 |
|      32 |         350 |       00:02:55 |      100.00% |       90.48% |       0.0065 |       0.3282 |      1.0000e-06 |
|      37 |         400 |       00:03:20 |      100.00% |       90.48% |       0.0142 |       0.3503 |      1.0000e-06 |
|      41 |         450 |       00:03:44 |       90.00% |       90.48% |       0.7942 |       0.2684 |      1.0000e-07 |
|      46 |         500 |       00:04:08 |      100.00% |       95.24% |       0.0114 |       0.1499 |      1.0000e-07 |
|      50 |         550 |       00:04:33 |      100.00% |       95.24% |       0.0240 |       0.1675 |      1.0000e-07 |
|      55 |         600 |       00:04:58 |      100.00% |       90.48% |       0.0082 |       0.2555 |      1.0000e-08 |
|      60 |         650 |       00:05:22 |      100.00% |       95.24% |       0.0069 |       0.1499 |      1.0000e-08 |
|      64 |         700 |       00:05:47 |       90.00% |       95.24% |       0.0781 |       0.1490 |      1.0000e-09 |
|      69 |         750 |       00:06:13 |       90.00% |       95.24% |       0.1575 |       0.1494 |      1.0000e-09 |
|      73 |         800 |       00:06:37 |      100.00% |       95.24% |       0.0228 |       0.1499 |      1.0000e-10 |
|      78 |         850 |       00:07:02 |      100.00% |      100.00% |       0.0539 |       0.0618 |      1.0000e-10 |
|      82 |         900 |       00:07:27 |      100.00% |       95.24% |       0.0599 |       0.1149 |      1.0000e-11 |
|      87 |         950 |       00:07:52 |       90.00% |      100.00% |       0.1277 |       0.0809 |      1.0000e-11 |
|      91 |        1000 |       00:08:17 |      100.00% |      100.00% |       0.0579 |       0.0618 |      1.0000e-12 |
|      96 |        1050 |       00:08:42 |      100.00% |      100.00% |       0.0245 |       0.0883 |      1.0000e-12 |
|     100 |        1100 |       00:09:07 |      100.00% |       95.24% |       0.0104 |       0.1499 |      1.0000e-12 |
|======================================================================================================================|
