Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:00 |        0.00% |        0.00% |       2.1556 |       1.9937 |          0.0010 |
|       5 |          18 |       00:00:02 |       44.44% |       25.00% |       1.4953 |       1.9566 |          0.0010 |
|       9 |          36 |       00:00:04 |       66.67% |       50.00% |       1.0333 |       1.4386 |          0.0010 |
|      13 |          50 |       00:00:05 |       66.67% |              |       0.9270 |              |          0.0001 |
|      14 |          54 |       00:00:05 |       88.89% |       75.00% |       0.6240 |       1.2833 |          0.0001 |
|      18 |          72 |       00:00:07 |       88.89% |       50.00% |       0.4354 |       1.4142 |          0.0001 |
|      23 |          90 |       00:00:09 |      100.00% |       50.00% |       0.5078 |       1.4076 |      1.0000e-05 |
|      25 |         100 |       00:00:10 |       77.78% |              |       0.5855 |              |      1.0000e-05 |
|      27 |         108 |       00:00:11 |       88.89% |       50.00% |       0.4441 |       1.4048 |      1.0000e-05 |
|      32 |         126 |       00:00:12 |       88.89% |       75.00% |       0.4087 |       1.3862 |      1.0000e-06 |
|      36 |         144 |       00:00:14 |      100.00% |       75.00% |       0.2098 |       1.3859 |      1.0000e-06 |
|      38 |         150 |       00:00:15 |      100.00% |              |       0.3297 |              |      1.0000e-06 |
|      41 |         162 |       00:00:16 |       88.89% |       75.00% |       0.3922 |       1.3864 |      1.0000e-07 |
|      45 |         180 |       00:00:18 |      100.00% |       75.00% |       0.3097 |       1.3867 |      1.0000e-07 |
|      50 |         198 |       00:00:19 |      100.00% |       75.00% |       0.3424 |       1.3869 |      1.0000e-07 |
|      50 |         200 |       00:00:19 |      100.00% |              |       0.3385 |              |      1.0000e-07 |
|      54 |         216 |       00:00:21 |      100.00% |       75.00% |       0.1622 |       1.3870 |      1.0000e-08 |
|      59 |         234 |       00:00:23 |      100.00% |       75.00% |       0.3689 |       1.3870 |      1.0000e-08 |
|      63 |         250 |       00:00:24 |      100.00% |              |       0.2722 |              |      1.0000e-09 |
|      63 |         252 |       00:00:24 |      100.00% |       75.00% |       0.3422 |       1.3870 |      1.0000e-09 |
|      68 |         270 |       00:00:26 |      100.00% |       75.00% |       0.5703 |       1.3870 |      1.0000e-09 |
|      72 |         288 |       00:00:28 |      100.00% |       75.00% |       0.3767 |       1.3870 |      1.0000e-10 |
|      75 |         300 |       00:00:29 |      100.00% |              |       0.3731 |              |      1.0000e-10 |
|      77 |         306 |       00:00:30 |      100.00% |       75.00% |       0.4100 |       1.3870 |      1.0000e-10 |
|      81 |         324 |       00:00:31 |      100.00% |       75.00% |       0.3594 |       1.3870 |      1.0000e-11 |
|      86 |         342 |       00:00:33 |      100.00% |       75.00% |       0.5891 |       1.3870 |      1.0000e-11 |
|      88 |         350 |       00:00:34 |      100.00% |              |       0.3632 |              |      1.0000e-11 |
|      90 |         360 |       00:00:35 |      100.00% |       75.00% |       0.3359 |       1.3870 |      1.0000e-11 |
|      95 |         378 |       00:00:37 |      100.00% |       75.00% |       0.3091 |       1.3870 |      1.0000e-12 |
|      99 |         396 |       00:00:38 |       88.89% |       75.00% |       0.3731 |       1.3870 |      1.0000e-12 |
|     100 |         400 |       00:00:39 |       88.89% |       75.00% |       0.3068 |       1.3870 |      1.0000e-12 |
|======================================================================================================================|
