Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:00 |       22.22% |        0.00% |       2.1778 |       2.1047 |          0.0010 |
|       5 |          18 |       00:00:02 |       66.67% |       25.00% |       1.5798 |       1.8144 |          0.0010 |
|       9 |          36 |       00:00:04 |      100.00% |       25.00% |       0.5250 |       1.3399 |          0.0010 |
|      13 |          50 |       00:00:06 |      100.00% |              |       0.1390 |              |          0.0001 |
|      14 |          54 |       00:00:06 |       88.89% |       25.00% |       0.3243 |       1.1701 |          0.0001 |
|      18 |          72 |       00:00:08 |      100.00% |       25.00% |       0.1508 |       0.9731 |          0.0001 |
|      23 |          90 |       00:00:10 |      100.00% |       50.00% |       0.1836 |       0.8471 |      1.0000e-05 |
|      25 |         100 |       00:00:11 |      100.00% |              |       0.3001 |              |      1.0000e-05 |
|      27 |         108 |       00:00:12 |      100.00% |       50.00% |       0.2448 |       0.8436 |      1.0000e-05 |
|      32 |         126 |       00:00:14 |      100.00% |       75.00% |       0.2391 |       0.8444 |      1.0000e-06 |
|      36 |         144 |       00:00:15 |      100.00% |       75.00% |       0.1915 |       0.8430 |      1.0000e-06 |
|      38 |         150 |       00:00:16 |       88.89% |              |       0.3398 |              |      1.0000e-06 |
|      41 |         162 |       00:00:17 |      100.00% |       75.00% |       0.2048 |       0.8420 |      1.0000e-07 |
|      45 |         180 |       00:00:19 |      100.00% |       75.00% |       0.1836 |       0.8420 |      1.0000e-07 |
|      50 |         198 |       00:00:21 |      100.00% |       75.00% |       0.2354 |       0.8419 |      1.0000e-07 |
|      50 |         200 |       00:00:21 |      100.00% |              |       0.2222 |              |      1.0000e-07 |
|      54 |         216 |       00:00:23 |      100.00% |       75.00% |       0.3258 |       0.8419 |      1.0000e-08 |
|      59 |         234 |       00:00:25 |      100.00% |       75.00% |       0.1511 |       0.8419 |      1.0000e-08 |
|      63 |         250 |       00:00:27 |      100.00% |              |       0.3039 |              |      1.0000e-09 |
|      63 |         252 |       00:00:27 |      100.00% |       75.00% |       0.2700 |       0.8419 |      1.0000e-09 |
|      68 |         270 |       00:00:29 |       88.89% |       75.00% |       0.2888 |       0.8419 |      1.0000e-09 |
|      72 |         288 |       00:00:31 |      100.00% |       75.00% |       0.2329 |       0.8419 |      1.0000e-10 |
|      75 |         300 |       00:00:32 |      100.00% |              |       0.1394 |              |      1.0000e-10 |
|      77 |         306 |       00:00:33 |      100.00% |       75.00% |       0.3467 |       0.8419 |      1.0000e-10 |
|      81 |         324 |       00:00:35 |      100.00% |       75.00% |       0.1708 |       0.8419 |      1.0000e-11 |
|      86 |         342 |       00:00:37 |      100.00% |       75.00% |       0.2655 |       0.8419 |      1.0000e-11 |
|      88 |         350 |       00:00:38 |      100.00% |              |       0.2015 |              |      1.0000e-11 |
|      90 |         360 |       00:00:39 |      100.00% |       75.00% |       0.2379 |       0.8419 |      1.0000e-11 |
|      95 |         378 |       00:00:41 |      100.00% |       75.00% |       0.2222 |       0.8419 |      1.0000e-12 |
|      99 |         396 |       00:00:43 |      100.00% |       75.00% |       0.2718 |       0.8419 |      1.0000e-12 |
|     100 |         400 |       00:00:43 |       88.89% |       75.00% |       0.3239 |       0.8419 |      1.0000e-12 |
|======================================================================================================================|
