Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |        0.00% |        0.00% |       3.7171 |       3.8212 |          0.0010 |
|      10 |          50 |       00:00:41 |       55.00% |              |       2.1964 |              |          0.0010 |
|      12 |          60 |       00:00:49 |       60.00% |        3.85% |       2.0147 |       3.5858 |          0.0001 |
|      20 |         100 |       00:01:21 |       75.00% |              |       1.7576 |              |          0.0001 |
|      24 |         120 |       00:01:38 |       70.00% |        7.69% |       1.9440 |       3.4592 |      1.0000e-05 |
|      30 |         150 |       00:02:03 |       70.00% |              |       1.9256 |              |      1.0000e-05 |
|      36 |         180 |       00:02:28 |       50.00% |        3.85% |       2.0852 |       3.5336 |      1.0000e-06 |
|      40 |         200 |       00:02:44 |       55.00% |              |       2.0411 |              |      1.0000e-06 |
|      48 |         240 |       00:03:17 |       75.00% |        7.69% |       1.8143 |       3.4527 |      1.0000e-07 |
|      50 |         250 |       00:03:26 |       50.00% |              |       2.1759 |              |      1.0000e-07 |
|      60 |         300 |       00:04:06 |       65.00% |        3.85% |       1.7741 |       3.5639 |      1.0000e-08 |
|      70 |         350 |       00:04:47 |       50.00% |              |       2.0364 |              |      1.0000e-09 |
|      72 |         360 |       00:04:56 |       45.00% |        3.85% |       2.3416 |       3.5743 |      1.0000e-10 |
|      80 |         400 |       00:05:28 |       65.00% |              |       2.0058 |              |      1.0000e-10 |
|      84 |         420 |       00:05:45 |       60.00% |        7.69% |       2.0010 |       3.4527 |      1.0000e-11 |
|      90 |         450 |       00:06:09 |       70.00% |              |       1.9873 |              |      1.0000e-11 |
|      96 |         480 |       00:06:34 |       55.00% |        3.85% |       1.9576 |       3.5383 |      1.0000e-12 |
|     100 |         500 |       00:06:50 |       45.00% |        3.85% |       2.1006 |       3.5383 |      1.0000e-12 |
|======================================================================================================================|
