Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |        5.00% |        3.85% |       3.7268 |       3.7340 |          0.0010 |
|      10 |          50 |       00:00:41 |        5.00% |              |       3.6338 |              |          0.0010 |
|      12 |          60 |       00:00:49 |       15.00% |        0.00% |       2.8195 |       3.5405 |          0.0001 |
|      20 |         100 |       00:01:22 |       15.00% |              |       3.0553 |              |          0.0001 |
|      24 |         120 |       00:01:39 |       25.00% |        0.00% |       2.6430 |       3.5351 |      1.0000e-05 |
|      30 |         150 |       00:02:03 |        5.00% |              |       2.9665 |              |      1.0000e-05 |
|      36 |         180 |       00:02:28 |       20.00% |        0.00% |       2.9104 |       3.5336 |      1.0000e-06 |
|      40 |         200 |       00:02:44 |       15.00% |              |       3.1225 |              |      1.0000e-06 |
|      48 |         240 |       00:03:17 |       25.00% |        0.00% |       3.1337 |       3.5353 |      1.0000e-07 |
|      50 |         250 |       00:03:25 |       15.00% |              |       2.9364 |              |      1.0000e-07 |
|      60 |         300 |       00:04:06 |       15.00% |        0.00% |       3.0275 |       3.5341 |      1.0000e-08 |
|      70 |         350 |       00:04:46 |       10.00% |              |       3.2374 |              |      1.0000e-09 |
|      72 |         360 |       00:04:55 |       20.00% |        0.00% |       2.9504 |       3.5322 |      1.0000e-10 |
|      80 |         400 |       00:05:27 |        5.00% |              |       3.2016 |              |      1.0000e-10 |
|      84 |         420 |       00:05:44 |       15.00% |        0.00% |       3.0885 |       3.5334 |      1.0000e-11 |
|      90 |         450 |       00:06:08 |       10.00% |              |       3.1207 |              |      1.0000e-11 |
|      96 |         480 |       00:06:33 |        0.00% |        0.00% |       2.8532 |       3.5353 |      1.0000e-12 |
|     100 |         500 |       00:06:50 |        5.00% |        0.00% |       3.2984 |       3.5334 |      1.0000e-12 |
|======================================================================================================================|
