Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |        5.00% |       11.54% |       3.7843 |       3.7077 |          0.0010 |
|      10 |          50 |       00:00:40 |       25.00% |              |       2.8732 |              |          0.0010 |
|      12 |          60 |       00:00:49 |       30.00% |       15.38% |       2.6278 |       3.3817 |          0.0001 |
|      20 |         100 |       00:01:20 |       45.00% |              |       2.3566 |              |          0.0001 |
|      24 |         120 |       00:01:36 |       50.00% |       15.38% |       2.4548 |       3.4577 |      1.0000e-05 |
|      30 |         150 |       00:02:00 |       45.00% |              |       2.5061 |              |      1.0000e-05 |
|      36 |         180 |       00:02:24 |       50.00% |       15.38% |       2.0670 |       3.4508 |      1.0000e-06 |
|      40 |         200 |       00:02:40 |       40.00% |              |       2.4600 |              |      1.0000e-06 |
|      48 |         240 |       00:03:12 |       45.00% |       15.38% |       2.3051 |       3.4799 |      1.0000e-07 |
|      50 |         250 |       00:03:20 |       35.00% |              |       2.3768 |              |      1.0000e-07 |
|      60 |         300 |       00:04:00 |       40.00% |       15.38% |       2.1392 |       3.3802 |      1.0000e-08 |
|      70 |         350 |       00:04:39 |       30.00% |              |       2.5542 |              |      1.0000e-09 |
|      72 |         360 |       00:04:47 |       45.00% |       15.38% |       2.3745 |       3.4506 |      1.0000e-10 |
|      80 |         400 |       00:05:20 |       35.00% |              |       2.5161 |              |      1.0000e-10 |
|      84 |         420 |       00:05:36 |       30.00% |       15.38% |       2.2520 |       3.4327 |      1.0000e-11 |
|      90 |         450 |       00:06:00 |       50.00% |              |       2.1146 |              |      1.0000e-11 |
|      96 |         480 |       00:06:25 |       40.00% |       15.38% |       2.4161 |       3.4506 |      1.0000e-12 |
|     100 |         500 |       00:06:41 |       65.00% |       15.38% |       2.1153 |       3.4327 |      1.0000e-12 |
|======================================================================================================================|
