Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |        0.00% |        0.00% |       3.7536 |       3.7543 |          0.0010 |
|      10 |          50 |       00:00:42 |       20.00% |              |       2.8232 |              |          0.0010 |
|      12 |          60 |       00:00:51 |       10.00% |       11.54% |       2.9067 |       3.1947 |          0.0001 |
|      20 |         100 |       00:01:24 |       25.00% |              |       2.5436 |              |          0.0001 |
|      24 |         120 |       00:01:41 |       30.00% |       11.54% |       2.6253 |       3.1518 |      1.0000e-05 |
|      30 |         150 |       00:02:06 |       35.00% |              |       2.4201 |              |      1.0000e-05 |
|      36 |         180 |       00:02:31 |       35.00% |       11.54% |       2.4122 |       3.1461 |      1.0000e-06 |
|      40 |         200 |       00:02:48 |       50.00% |              |       2.3925 |              |      1.0000e-06 |
|      48 |         240 |       00:03:21 |       50.00% |       11.54% |       2.5535 |       3.1461 |      1.0000e-07 |
|      50 |         250 |       00:03:30 |       40.00% |              |       2.5716 |              |      1.0000e-07 |
|      60 |         300 |       00:04:11 |       30.00% |       11.54% |       2.7162 |       3.1477 |      1.0000e-08 |
|      70 |         350 |       00:04:53 |       25.00% |              |       2.6437 |              |      1.0000e-09 |
|      72 |         360 |       00:05:02 |       20.00% |       11.54% |       2.7434 |       3.1461 |      1.0000e-10 |
|      80 |         400 |       00:05:36 |       25.00% |              |       2.8410 |              |      1.0000e-10 |
|      84 |         420 |       00:05:53 |       35.00% |       11.54% |       2.8458 |       3.1461 |      1.0000e-11 |
|      90 |         450 |       00:06:18 |       40.00% |              |       2.4374 |              |      1.0000e-11 |
|      96 |         480 |       00:06:43 |       30.00% |       11.54% |       2.6953 |       3.1448 |      1.0000e-12 |
|     100 |         500 |       00:07:00 |       45.00% |       11.54% |       2.5587 |       3.1494 |      1.0000e-12 |
|======================================================================================================================|
