Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |        0.00% |        0.00% |       3.6714 |       3.7826 |          0.0010 |
|      10 |          50 |       00:00:41 |       50.00% |              |       2.3330 |              |          0.0010 |
|      12 |          60 |       00:00:50 |       45.00% |       11.54% |       2.3106 |       3.2696 |          0.0001 |
|      20 |         100 |       00:01:23 |       55.00% |              |       2.0771 |              |          0.0001 |
|      24 |         120 |       00:01:40 |       45.00% |       11.54% |       2.3608 |       3.1896 |      1.0000e-05 |
|      30 |         150 |       00:02:05 |       55.00% |              |       2.0085 |              |      1.0000e-05 |
|      36 |         180 |       00:02:29 |       40.00% |       11.54% |       2.2009 |       3.1522 |      1.0000e-06 |
|      40 |         200 |       00:02:45 |       40.00% |              |       2.2341 |              |      1.0000e-06 |
|      48 |         240 |       00:03:19 |       40.00% |       11.54% |       2.0639 |       3.1940 |      1.0000e-07 |
|      50 |         250 |       00:03:27 |       45.00% |              |       2.1097 |              |      1.0000e-07 |
|      60 |         300 |       00:04:08 |       40.00% |       11.54% |       2.3161 |       3.2162 |      1.0000e-08 |
|      70 |         350 |       00:04:50 |       35.00% |              |       2.3356 |              |      1.0000e-09 |
|      72 |         360 |       00:04:59 |       55.00% |       11.54% |       2.2371 |       3.1940 |      1.0000e-10 |
|      80 |         400 |       00:05:31 |       65.00% |              |       2.1528 |              |      1.0000e-10 |
|      84 |         420 |       00:05:48 |       30.00% |       11.54% |       2.3544 |       3.1517 |      1.0000e-11 |
|      90 |         450 |       00:06:13 |       45.00% |              |       2.1559 |              |      1.0000e-11 |
|      96 |         480 |       00:06:39 |       35.00% |       11.54% |       2.1394 |       3.1875 |      1.0000e-12 |
|     100 |         500 |       00:06:55 |       30.00% |       15.38% |       2.3024 |       3.1671 |      1.0000e-12 |
|======================================================================================================================|
