Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:00 |        0.00% |        0.00% |       2.2562 |       2.1268 |          0.0010 |
|       5 |          18 |       00:00:02 |       22.22% |       25.00% |       2.0739 |       2.4861 |          0.0010 |
|       9 |          36 |       00:00:04 |       55.56% |       25.00% |       1.3024 |       1.7812 |          0.0010 |
|      13 |          50 |       00:00:05 |       77.78% |              |       0.9466 |              |          0.0001 |
|      14 |          54 |       00:00:05 |       66.67% |       25.00% |       1.0172 |       1.8342 |          0.0001 |
|      18 |          72 |       00:00:07 |       66.67% |       25.00% |       0.9975 |       1.8478 |          0.0001 |
|      23 |          90 |       00:00:09 |      100.00% |       25.00% |       0.5487 |       1.8248 |      1.0000e-05 |
|      25 |         100 |       00:00:10 |       88.89% |              |       0.4682 |              |      1.0000e-05 |
|      27 |         108 |       00:00:10 |       77.78% |       25.00% |       0.7101 |       1.8220 |      1.0000e-05 |
|      32 |         126 |       00:00:12 |       88.89% |       25.00% |       0.6654 |       1.8213 |      1.0000e-06 |
|      36 |         144 |       00:00:14 |      100.00% |       25.00% |       0.4920 |       1.8209 |      1.0000e-06 |
|      38 |         150 |       00:00:14 |       88.89% |              |       0.7879 |              |      1.0000e-06 |
|      41 |         162 |       00:00:15 |       66.67% |       25.00% |       1.0002 |       1.8208 |      1.0000e-07 |
|      45 |         180 |       00:00:17 |       88.89% |       25.00% |       0.6998 |       1.8208 |      1.0000e-07 |
|      50 |         198 |       00:00:19 |       77.78% |       25.00% |       0.8420 |       1.8208 |      1.0000e-07 |
|      50 |         200 |       00:00:19 |       66.67% |              |       0.8969 |              |      1.0000e-07 |
|      54 |         216 |       00:00:21 |       55.56% |       25.00% |       1.1442 |       1.8208 |      1.0000e-08 |
|      59 |         234 |       00:00:23 |       77.78% |       25.00% |       0.7134 |       1.8208 |      1.0000e-08 |
|      63 |         250 |       00:00:24 |       88.89% |              |       0.8092 |              |      1.0000e-09 |
|      63 |         252 |       00:00:24 |       77.78% |       25.00% |       0.7830 |       1.8208 |      1.0000e-09 |
|      68 |         270 |       00:00:26 |       66.67% |       25.00% |       0.7954 |       1.8208 |      1.0000e-09 |
|      72 |         288 |       00:00:28 |       77.78% |       25.00% |       0.7100 |       1.8208 |      1.0000e-10 |
|      75 |         300 |       00:00:29 |       77.78% |              |       0.8255 |              |      1.0000e-10 |
|      77 |         306 |       00:00:30 |       66.67% |       25.00% |       0.8900 |       1.8208 |      1.0000e-10 |
|      81 |         324 |       00:00:32 |       77.78% |       25.00% |       1.0538 |       1.8208 |      1.0000e-11 |
|      86 |         342 |       00:00:33 |       88.89% |       25.00% |       0.7036 |       1.8208 |      1.0000e-11 |
|      88 |         350 |       00:00:34 |       88.89% |              |       0.6727 |              |      1.0000e-11 |
|      90 |         360 |       00:00:35 |       77.78% |       25.00% |       0.7610 |       1.8208 |      1.0000e-11 |
|      95 |         378 |       00:00:37 |       88.89% |       25.00% |       0.8219 |       1.8208 |      1.0000e-12 |
|      99 |         396 |       00:00:39 |       55.56% |       25.00% |       1.0678 |       1.8208 |      1.0000e-12 |
|     100 |         400 |       00:00:39 |       55.56% |       25.00% |       0.9369 |       1.8208 |      1.0000e-12 |
|======================================================================================================================|
