Accuracy,Accuracy Validation,Loss,Loss Validation,,,,,,,,,,,
,,,,,,,,,,,,,,
81.82%,10.00%,1.071,2.154,,,,,,,,,,,
,,,,,,,,,,,,,,
54.55%,30.00%,1.0813,2.3192,,,,,,,,,,,
,,,,,,,,,,,,,,
90.91%,50.00%,0.976,1.8237,,,,,,,,,,,
,,,,,,,,,,,,,,
81.82%,50.00%,1.1224,1.7486,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,12,,,,,69.09%,26.00%,1.2108,2.32384,,0.165163834,0.181659021,0.204046355,0.53332076
,,,,,,,,,,,,,,
63.64%,30.00%,1.4105,2.0046,,,,,,,,,,,
,,,,,,,,,,,,,,
90.91%,0.00%,0.926,3.2035,,,,,,,,,,,
,,,,,,,,,,,,,,
45.45%,30.00%,1.4082,2.1029,,,,,,,,,,,
,,,,,,,,,,,,,,
72.73%,20.00%,1.1429,2.433,,,,,,,,,,,
,,,,,,,,,,,,,,
72.73%,50.00%,1.1664,1.8752,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,13,,,,,83.64%,42.00%,1.0904,2.05012,,0.149363941,0.130384048,0.198898039,0.211168409
,,,,,,,,,,,,,,
100.00%,30.00%,0.7579,2.4096,,,,,,,,,,,
,,,,,,,,,,,,,,
90.91%,50.00%,1.1129,1.9016,,,,,,,,,,,
,,,,,,,,,,,,,,
90.91%,60.00%,1.1884,1.9494,,,,,,,,,,,
,,,,,,,,,,,,,,
72.73%,40.00%,1.2833,2.0687,,,,,,,,,,,
,,,,,,,,,,,,,,
63.64%,30.00%,1.1095,1.9213,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,14,,,,,81.82%,46.00%,0.91378,1.87686,,0.0909,0.207364414,0.062076703,0.366426368
,,,,,,,,,,,,,,
72.73%,30.00%,0.9167,2.3458,,,,,,,,,,,
,,,,,,,,,,,,,,
90.91%,80.00%,0.972,1.3227,,,,,,,,,,,
,,,,,,,,,,,,,,
81.82%,50.00%,0.9045,1.9462,,,,,,,,,,,
,,,,,,,,,,,,,,
72.73%,30.00%,0.9606,1.8341,,,,,,,,,,,
,,,,,,,,,,,,,,
90.91%,40.00%,0.8151,1.9355,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,15,,,,,81.82%,36.00%,1.13372,2.32396,,0.157443418,0.167332005,0.159244206,0.4719434
,,,,,,,,,,,,,,
90.91%,30.00%,0.9494,2.1786,,,,,,,,,,,
,,,,,,,,,,,,,,
54.55%,50.00%,1.3574,1.8013,,,,,,,,,,,
,,,,,,,,,,,,,,
81.82%,40.00%,1.1974,2.0435,,,,,,,,,,,
,,,,,,,,,,,,,,
90.91%,10.00%,1.0187,2.9828,,,,,,,,,,,
,,,,,,,,,,,,,,
90.91%,50.00%,1.1457,2.6136,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,16,,,,,74.55%,28.00%,1.0892,2.39456,,0.1185191,0.130384048,0.090499309,0.374540149
,,,,,,,,,,,,,,
81.82%,40.00%,1.0096,2.1744,,,,,,,,,,,
,,,,,,,,,,,,,,
90.91%,30.00%,0.9929,2.4405,,,,,,,,,,,
,,,,,,,,,,,,,,
72.73%,40.00%,1.1408,2.115,,,,,,,,,,,
,,,,,,,,,,,,,,
63.64%,10.00%,1.2095,2.2156,,,,,,,,,,,
,,,,,,,,,,,,,,
63.64%,20.00%,1.0932,3.0273,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,17,,,,,87.27%,36.00%,0.9563,2.02056,,0.103641946,0.167332005,0.117038562,0.234731033
,,,,,,,,,,,,,,
72.73%,50.00%,1.145,1.9661,,,,,,,,,,,
,,,,,,,,,,,,,,
90.91%,50.00%,0.9412,1.7011,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,30.00%,0.8281,2.2203,,,,,,,,,,,
,,,,,,,,,,,,,,
90.91%,10.00%,0.9609,2.2813,,,,,,,,,,,
,,,,,,,,,,,,,,
81.82%,40.00%,0.9063,1.934,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,18,,,,,87.27%,46.00%,0.96714,2.07852,,0.103641946,0.207364414,0.081764619,0.427763629
,,,,,,,,,,,,,,
90.91%,50.00%,0.9565,2.0367,,,,,,,,,,,
,,,,,,,,,,,,,,
90.91%,60.00%,0.9185,1.6381,,,,,,,,,,,
,,,,,,,,,,,,,,
72.73%,10.00%,1.0946,2.7875,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,60.00%,0.9864,2.0278,,,,,,,,,,,
,,,,,,,,,,,,,,
81.82%,50.00%,0.8797,1.9025,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,19,,,,,87.27%,38.00%,1.0344,2.37496,,0.103641946,0.083666003,0.202886052,0.570409693
,,,,,,,,,,,,,,
81.82%,50.00%,0.8843,1.7555,,,,,,,,,,,
,,,,,,,,,,,,,,
72.73%,40.00%,1.3567,1.8763,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,30.00%,1.1145,2.3552,,,,,,,,,,,
,,,,,,,,,,,,,,
90.91%,40.00%,0.9084,2.8407,,,,,,,,,,,
,,,,,,,,,,,,,,
90.91%,30.00%,0.9081,3.0471,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,20,,,,,83.64%,38.00%,0.92972,2.1966,,0.1185191,0.083666003,0.201110994,0.485308155
,,,,,,,,,,,,,,
81.82%,40.00%,0.8554,1.9485,,,,,,,,,,,
,,,,,,,,,,,,,,
72.73%,50.00%,1.2262,1.726,,,,,,,,,,,
,,,,,,,,,,,,,,
90.91%,30.00%,0.6866,2.0834,,,,,,,,,,,
,,,,,,,,,,,,,,
72.73%,30.00%,1.0074,3,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,40.00%,0.873,2.2251,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,21,,,,,80.00%,36.00%,0.9045,2.10258,,0.1185191,0.114017543,0.191631091,0.475971551
,,,,,,,,,,,,,,
81.82%,40.00%,0.9291,1.8769,,,,,,,,,,,
,,,,,,,,,,,,,,
72.73%,20.00%,0.9395,2.8418,,,,,,,,,,,
,,,,,,,,,,,,,,
63.64%,40.00%,1.1867,2.2863,,,,,,,,,,,
,,,,,,,,,,,,,,
90.91%,30.00%,0.7928,1.8804,,,,,,,,,,,
,,,,,,,,,,,,,,
90.91%,50.00%,0.6744,1.6275,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,22,,,,,85.46%,36.00%,0.95312,2.14616,,0.137856676,0.151657509,0.162015823,0.360767187
,,,,,,,,,,,,,,
81.82%,40.00%,1.1156,1.9501,,,,,,,,,,,
,,,,,,,,,,,,,,
63.64%,10.00%,1.053,2.6518,,,,,,,,,,,
,,,,,,,,,,,,,,
90.91%,40.00%,0.7119,2.3437,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,40.00%,0.8711,2.0642,,,,,,,,,,,
,,,,,,,,,,,,,,
90.91%,50.00%,1.014,1.721,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,23,,,,,87.27%,42.00%,0.88296,1.93566,,0.04978798,0.109544512,0.067782911,0.16581183
,,,,,,,,,,,,,,
90.91%,40.00%,0.9808,1.6717,,,,,,,,,,,
,,,,,,,,,,,,,,
90.91%,40.00%,0.8143,2.0292,,,,,,,,,,,
,,,,,,,,,,,,,,
81.82%,30.00%,0.847,2.1121,,,,,,,,,,,
,,,,,,,,,,,,,,
81.82%,40.00%,0.9236,1.9185,,,,,,,,,,,
,,,,,,,,,,,,,,
90.91%,60.00%,0.8491,1.9468,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,24,,,,,90.91%,40.00%,0.90728,2.20558,,0.0909,0.1,0.205962987,0.476538054
,,,,,,,,,,,,,,
100.00%,40.00%,0.5642,2.0335,,,,,,,,,,,
,,,,,,,,,,,,,,
81.82%,30.00%,1.0256,3.0416,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,50.00%,0.8654,1.9887,,,,,,,,,,,
,,,,,,,,,,,,,,
81.82%,50.00%,1.059,1.8539,,,,,,,,,,,
,,,,,,,,,,,,,,
90.91%,30.00%,1.0222,2.1102,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,25,,,,,89.09%,48.00%,0.7622,1.80626,,0.076052396,0.178885438,0.127050462,0.227224048
,,,,,,,,,,,,,,
100.00%,30.00%,0.595,1.9155,,,,,,,,,,,
,,,,,,,,,,,,,,
81.82%,30.00%,0.8112,2.1455,,,,,,,,,,,
,,,,,,,,,,,,,,
90.91%,70.00%,0.9152,1.7241,,,,,,,,,,,
,,,,,,,,,,,,,,
81.82%,50.00%,0.8162,1.6763,,,,,,,,,,,
