Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |        9.09% |       20.00% |       2.8245 |       2.8212 |          0.0010 |
|       6 |          22 |       00:00:08 |       63.64% |       20.00% |       2.1039 |       2.8648 |          0.0010 |
|      11 |          44 |       00:00:15 |       72.73% |       30.00% |       1.1407 |       2.5173 |          0.0001 |
|      13 |          50 |       00:00:17 |       81.82% |              |       1.1004 |              |          0.0001 |
|      17 |          66 |       00:00:23 |       54.55% |       30.00% |       1.3755 |       2.4470 |          0.0001 |
|      22 |          88 |       00:00:31 |      100.00% |       30.00% |       1.0492 |       2.4175 |      1.0000e-05 |
|      25 |         100 |       00:00:35 |      100.00% |              |       1.0943 |              |      1.0000e-05 |
|      28 |         110 |       00:00:38 |       63.64% |       30.00% |       0.9813 |       2.4124 |      1.0000e-05 |
|      33 |         132 |       00:00:46 |       81.82% |       30.00% |       0.7450 |       2.4103 |      1.0000e-06 |
|      38 |         150 |       00:00:52 |       81.82% |              |       0.8985 |              |      1.0000e-06 |
|      39 |         154 |       00:00:54 |       72.73% |       30.00% |       1.2424 |       2.4098 |      1.0000e-06 |
|      44 |         176 |       00:01:02 |       90.91% |       30.00% |       0.9895 |       2.4096 |      1.0000e-07 |
|      50 |         198 |       00:01:09 |       63.64% |       30.00% |       1.1274 |       2.4096 |      1.0000e-07 |
|      50 |         200 |       00:01:10 |       54.55% |              |       1.1316 |              |      1.0000e-07 |
|      55 |         220 |       00:01:17 |       90.91% |       30.00% |       0.9542 |       2.4096 |      1.0000e-08 |
|      61 |         242 |       00:01:25 |       81.82% |       30.00% |       1.1895 |       2.4096 |      1.0000e-09 |
|      63 |         250 |       00:01:28 |       90.91% |              |       0.9493 |              |      1.0000e-09 |
|      66 |         264 |       00:01:33 |       81.82% |       30.00% |       0.8631 |       2.4096 |      1.0000e-09 |
|      72 |         286 |       00:01:40 |       72.73% |       30.00% |       1.0097 |       2.4096 |      1.0000e-10 |
|      75 |         300 |       00:01:45 |       54.55% |              |       1.3247 |              |      1.0000e-10 |
|      77 |         308 |       00:01:48 |      100.00% |       30.00% |       0.9428 |       2.4096 |      1.0000e-10 |
|      83 |         330 |       00:01:56 |       81.82% |       30.00% |       1.0719 |       2.4096 |      1.0000e-11 |
|      88 |         350 |       00:02:03 |       72.73% |              |       1.2399 |              |      1.0000e-11 |
|      88 |         352 |       00:02:04 |       81.82% |       30.00% |       1.0875 |       2.4096 |      1.0000e-11 |
|      94 |         374 |       00:02:11 |       90.91% |       30.00% |       1.0353 |       2.4096 |      1.0000e-12 |
|      99 |         396 |       00:02:19 |       81.82% |       30.00% |       1.3599 |       2.4096 |      1.0000e-12 |
|     100 |         400 |       00:02:21 |      100.00% |       30.00% |       0.7579 |       2.4096 |      1.0000e-12 |
|======================================================================================================================|
