Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:00 |       11.11% |       75.00% |       2.2128 |       1.9189 |          0.0010 |
|       5 |          18 |       00:00:02 |       66.67% |       25.00% |       1.3182 |       1.7704 |          0.0010 |
|       9 |          36 |       00:00:03 |       88.89% |       25.00% |       0.8056 |       1.7016 |          0.0010 |
|      13 |          50 |       00:00:04 |       88.89% |              |       0.5655 |              |          0.0001 |
|      14 |          54 |       00:00:05 |      100.00% |       50.00% |       0.2875 |       1.5155 |          0.0001 |
|      18 |          72 |       00:00:06 |      100.00% |       50.00% |       0.3272 |       1.5992 |          0.0001 |
|      23 |          90 |       00:00:08 |       88.89% |       50.00% |       0.3982 |       1.5716 |      1.0000e-05 |
|      25 |         100 |       00:00:08 |       77.78% |              |       0.5887 |              |      1.0000e-05 |
|      27 |         108 |       00:00:09 |       88.89% |       50.00% |       0.4745 |       1.5757 |      1.0000e-05 |
|      32 |         126 |       00:00:11 |       88.89% |       50.00% |       0.3782 |       1.5818 |      1.0000e-06 |
|      36 |         144 |       00:00:12 |      100.00% |       50.00% |       0.4188 |       1.5838 |      1.0000e-06 |
|      38 |         150 |       00:00:13 |      100.00% |              |       0.3045 |              |      1.0000e-06 |
|      41 |         162 |       00:00:14 |       88.89% |       50.00% |       0.3708 |       1.5852 |      1.0000e-07 |
|      45 |         180 |       00:00:15 |      100.00% |       50.00% |       0.2789 |       1.5852 |      1.0000e-07 |
|      50 |         198 |       00:00:17 |      100.00% |       50.00% |       0.4619 |       1.5852 |      1.0000e-07 |
|      50 |         200 |       00:00:17 |       55.56% |              |       1.2512 |              |      1.0000e-07 |
|      54 |         216 |       00:00:18 |       88.89% |       50.00% |       0.4602 |       1.5852 |      1.0000e-08 |
|      59 |         234 |       00:00:20 |       88.89% |       50.00% |       0.4206 |       1.5852 |      1.0000e-08 |
|      63 |         250 |       00:00:21 |       88.89% |              |       0.2422 |              |      1.0000e-09 |
|      63 |         252 |       00:00:21 |      100.00% |       50.00% |       0.4392 |       1.5852 |      1.0000e-09 |
|      68 |         270 |       00:00:23 |       66.67% |       50.00% |       0.6304 |       1.5852 |      1.0000e-09 |
|      72 |         288 |       00:00:24 |      100.00% |       50.00% |       0.2884 |       1.5852 |      1.0000e-10 |
|      75 |         300 |       00:00:25 |       88.89% |              |       0.5636 |              |      1.0000e-10 |
|      77 |         306 |       00:00:26 |      100.00% |       50.00% |       0.3452 |       1.5852 |      1.0000e-10 |
|      81 |         324 |       00:00:28 |      100.00% |       50.00% |       0.5546 |       1.5852 |      1.0000e-11 |
|      86 |         342 |       00:00:30 |       88.89% |       50.00% |       0.4476 |       1.5852 |      1.0000e-11 |
|      88 |         350 |       00:00:30 |      100.00% |              |       0.2808 |              |      1.0000e-11 |
|      90 |         360 |       00:00:31 |       88.89% |       50.00% |       0.4828 |       1.5852 |      1.0000e-11 |
|      95 |         378 |       00:00:33 |       88.89% |       50.00% |       0.3582 |       1.5852 |      1.0000e-12 |
|      99 |         396 |       00:00:34 |      100.00% |       50.00% |       0.1626 |       1.5852 |      1.0000e-12 |
|     100 |         400 |       00:00:35 |       77.78% |       50.00% |       0.5099 |       1.5852 |      1.0000e-12 |
|======================================================================================================================|
