Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:00 |       33.33% |        0.00% |       2.0518 |       2.0993 |          0.0010 |
|       5 |          18 |       00:00:02 |       44.44% |        0.00% |       1.7863 |       2.3276 |          0.0010 |
|       9 |          36 |       00:00:03 |       77.78% |       25.00% |       1.1276 |       2.2902 |          0.0010 |
|      13 |          50 |       00:00:04 |       22.22% |              |       2.3725 |              |          0.0001 |
|      14 |          54 |       00:00:05 |       77.78% |       25.00% |       0.7621 |       2.1547 |          0.0001 |
|      18 |          72 |       00:00:06 |       77.78% |       25.00% |       0.6600 |       2.2168 |          0.0001 |
|      23 |          90 |       00:00:07 |       66.67% |       25.00% |       0.8356 |       2.2202 |      1.0000e-05 |
|      25 |         100 |       00:00:08 |       88.89% |              |       0.4434 |              |      1.0000e-05 |
|      27 |         108 |       00:00:09 |       77.78% |       25.00% |       1.2229 |       2.2175 |      1.0000e-05 |
|      32 |         126 |       00:00:10 |       88.89% |       25.00% |       0.4245 |       2.2159 |      1.0000e-06 |
|      36 |         144 |       00:00:12 |       33.33% |       25.00% |       2.1373 |       2.2160 |      1.0000e-06 |
|      38 |         150 |       00:00:12 |       88.89% |              |       0.5391 |              |      1.0000e-06 |
|      41 |         162 |       00:00:13 |       88.89% |       25.00% |       0.5077 |       2.2165 |      1.0000e-07 |
|      45 |         180 |       00:00:15 |      100.00% |       25.00% |       0.6316 |       2.2166 |      1.0000e-07 |
|      50 |         198 |       00:00:16 |       88.89% |       25.00% |       0.4667 |       2.2167 |      1.0000e-07 |
|      50 |         200 |       00:00:16 |       77.78% |              |       0.6914 |              |      1.0000e-07 |
|      54 |         216 |       00:00:18 |       66.67% |       25.00% |       0.8643 |       2.2167 |      1.0000e-08 |
|      59 |         234 |       00:00:19 |       88.89% |       25.00% |       0.8259 |       2.2167 |      1.0000e-08 |
|      63 |         250 |       00:00:20 |       66.67% |              |       0.9394 |              |      1.0000e-09 |
|      63 |         252 |       00:00:20 |       88.89% |       25.00% |       0.6744 |       2.2167 |      1.0000e-09 |
|      68 |         270 |       00:00:22 |       88.89% |       25.00% |       0.6473 |       2.2167 |      1.0000e-09 |
|      72 |         288 |       00:00:23 |       77.78% |       25.00% |       0.8920 |       2.2167 |      1.0000e-10 |
|      75 |         300 |       00:00:24 |       77.78% |              |       0.5561 |              |      1.0000e-10 |
|      77 |         306 |       00:00:25 |       77.78% |       25.00% |       0.6775 |       2.2167 |      1.0000e-10 |
|      81 |         324 |       00:00:26 |       77.78% |       25.00% |       1.1520 |       2.2167 |      1.0000e-11 |
|      86 |         342 |       00:00:28 |       88.89% |       25.00% |       0.9604 |       2.2167 |      1.0000e-11 |
|      88 |         350 |       00:00:28 |       88.89% |              |       0.5772 |              |      1.0000e-11 |
|      90 |         360 |       00:00:29 |       88.89% |       25.00% |       0.6008 |       2.2167 |      1.0000e-11 |
|      95 |         378 |       00:00:31 |      100.00% |       25.00% |       0.3888 |       2.2167 |      1.0000e-12 |
|      99 |         396 |       00:00:32 |       88.89% |       25.00% |       0.5427 |       2.2167 |      1.0000e-12 |
|     100 |         400 |       00:00:33 |       88.89% |       25.00% |       0.5497 |       2.2167 |      1.0000e-12 |
|======================================================================================================================|
