Accuracy,Accuracy Validation,Loss,Loss Validation,,MEAN,Accuracy,Accuracy Validation,Loss,Loss Validation,,,STD,Accuracy,Accuracy Validation,Loss,Loss Validation
,,,,,,,,,,,,,,,,
55.56%,25.00%,1.1005,1.8723,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
55.56%,25.00%,1.117,1.9206,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
66.67%,25.00%,0.9,1.7332,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Number Of features = ,11,,,,,0.55558,0.4,1.17896,1.76094,,,,0.207889158,0.285043856,0.214797109,0.699053995
,,,,,,,,,,,,,,,,
77.78%,75.00%,1.1431,1.1233,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
66.67%,50.00%,1.0523,1.2779,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
55.56%,0.00%,0.9788,2.7705,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
55.56%,50.00%,1.1851,1.4361,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
22.22%,25.00%,1.5355,2.1969,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Number Of features = ,12,,,,,0.55554,0.35,1.134,1.62036,,,,0.20790252,0.285043856,0.221234095,0.632474211
,,,,,,,,,,,,,,,,
44.44%,75.00%,1.2438,0.8834,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
77.78%,50.00%,0.9297,2.189,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
77.78%,0.00%,0.87,2.328,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
44.44%,25.00%,1.3766,1.1416,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
33.33%,25.00%,1.2499,1.5598,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Number Of features = ,13,,,,,0.64446,0.3,1.04088,1.4899,,,,0.182583318,0.111803399,0.19313268,0.240130871
,,,,,,,,,,,,,,,,
77.78%,25.00%,0.903,1.5586,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
88.89%,25.00%,0.8198,1.5787,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
55.56%,50.00%,1.1434,1.0635,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
44.44%,25.00%,1.3068,1.6305,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
55.56%,25.00%,1.0314,1.6182,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Number Of features = ,14,,,,,0.82224,0.35,0.72104,2.3734,,,,0.168491492,0.285043856,0.103520785,1.165448765
,,,,,,,,,,,,,,,,
100.00%,25.00%,0.7194,1.6803,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
88.89%,0.00%,0.5515,3.5326,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
77.78%,75.00%,0.7476,1.163,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
88.89%,25.00%,0.7549,3.7117,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
55.56%,50.00%,0.8318,1.7794,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Number Of features = ,15,,,,,0.73336,0.55,0.9391,1.38004,,,,0.12667349,0.32596012,0.200335182,0.64265305
,,,,,,,,,,,,,,,,
77.78%,25.00%,0.9811,2.3309,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
55.56%,100.00%,1.1743,0.7677,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
77.78%,75.00%,0.8026,0.9398,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
66.67%,25.00%,1.0623,1.136,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
88.89%,50.00%,0.6752,1.7258,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Number Of features = ,16,,,,,0.80002,0.45,0.88252,1.69284,,,,0.092952929,0.273861279,0.228889213,0.924533376
,,,,,,,,,,,,,,,,
88.89%,50.00%,0.6809,1.2594,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
88.89%,0.00%,0.6851,3.128,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
77.78%,50.00%,0.9467,0.9977,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
66.67%,50.00%,1.2367,2.1058,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
77.78%,75.00%,0.8632,0.9733,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Number Of features = ,17,,,,,0.82224,0.75,0.77234,0.86482,,,,0.099370861,0.306186218,0.175981044,0.661517367
,,,,,,,,,,,,,,,,
66.67%,75.00%,1.0364,0.6347,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
77.78%,25.00%,0.7012,2.0158,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
88.89%,100.00%,0.8608,0.4253,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
88.89%,75.00%,0.6027,0.8026,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
88.89%,100.00%,0.6606,0.4457,,,,,,,,,,,,,
