Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:00 |        0.00% |       25.00% |       2.0915 |       1.9181 |          0.0010 |
|       5 |          18 |       00:00:02 |       88.89% |       25.00% |       1.3047 |       1.5505 |          0.0010 |
|       9 |          36 |       00:00:04 |       66.67% |       50.00% |       1.0574 |       1.5126 |          0.0010 |
|      13 |          50 |       00:00:05 |       88.89% |              |       0.5110 |              |          0.0001 |
|      14 |          54 |       00:00:05 |      100.00% |       50.00% |       0.4622 |       1.5501 |          0.0001 |
|      18 |          72 |       00:00:07 |       88.89% |       50.00% |       0.2743 |       1.5823 |          0.0001 |
|      23 |          90 |       00:00:09 |       77.78% |       50.00% |       0.3343 |       1.6564 |      1.0000e-05 |
|      25 |         100 |       00:00:10 |      100.00% |              |       0.4070 |              |      1.0000e-05 |
|      27 |         108 |       00:00:11 |      100.00% |       50.00% |       0.2911 |       1.6658 |      1.0000e-05 |
|      32 |         126 |       00:00:12 |       77.78% |       50.00% |       0.5053 |       1.6578 |      1.0000e-06 |
|      36 |         144 |       00:00:14 |       88.89% |       50.00% |       0.2781 |       1.6562 |      1.0000e-06 |
|      38 |         150 |       00:00:14 |      100.00% |              |       0.0985 |              |      1.0000e-06 |
|      41 |         162 |       00:00:16 |       88.89% |       50.00% |       0.2649 |       1.6558 |      1.0000e-07 |
|      45 |         180 |       00:00:17 |      100.00% |       50.00% |       0.2637 |       1.6558 |      1.0000e-07 |
|      50 |         198 |       00:00:19 |       88.89% |       50.00% |       0.3320 |       1.6556 |      1.0000e-07 |
|      50 |         200 |       00:00:19 |      100.00% |              |       0.2020 |              |      1.0000e-07 |
|      54 |         216 |       00:00:21 |       88.89% |       50.00% |       0.3356 |       1.6556 |      1.0000e-08 |
|      59 |         234 |       00:00:22 |       88.89% |       50.00% |       0.3239 |       1.6556 |      1.0000e-08 |
|      63 |         250 |       00:00:24 |      100.00% |              |       0.3459 |              |      1.0000e-09 |
|      63 |         252 |       00:00:24 |      100.00% |       50.00% |       0.3412 |       1.6556 |      1.0000e-09 |
|      68 |         270 |       00:00:26 |       88.89% |       50.00% |       0.3537 |       1.6556 |      1.0000e-09 |
|      72 |         288 |       00:00:28 |       88.89% |       50.00% |       0.3870 |       1.6556 |      1.0000e-10 |
|      75 |         300 |       00:00:29 |       88.89% |              |       0.4986 |              |      1.0000e-10 |
|      77 |         306 |       00:00:29 |      100.00% |       50.00% |       0.1820 |       1.6556 |      1.0000e-10 |
|      81 |         324 |       00:00:31 |      100.00% |       50.00% |       0.2095 |       1.6556 |      1.0000e-11 |
|      86 |         342 |       00:00:33 |      100.00% |       50.00% |       0.3313 |       1.6556 |      1.0000e-11 |
|      88 |         350 |       00:00:34 |       88.89% |              |       0.4737 |              |      1.0000e-11 |
|      90 |         360 |       00:00:35 |      100.00% |       50.00% |       0.2324 |       1.6556 |      1.0000e-11 |
|      95 |         378 |       00:00:37 |       55.56% |       50.00% |       0.7191 |       1.6556 |      1.0000e-12 |
|      99 |         396 |       00:00:39 |      100.00% |       50.00% |       0.2219 |       1.6556 |      1.0000e-12 |
|     100 |         400 |       00:00:39 |      100.00% |       50.00% |       0.4102 |       1.6556 |      1.0000e-12 |
|======================================================================================================================|
