Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:00 |        0.00% |       25.00% |       2.1480 |       2.1014 |          0.0010 |
|       5 |          18 |       00:00:02 |       33.33% |       50.00% |       1.6528 |       1.5784 |          0.0010 |
|       9 |          36 |       00:00:04 |       22.22% |       50.00% |       1.7085 |       1.1089 |          0.0010 |
|      13 |          50 |       00:00:05 |       55.56% |              |       1.1718 |              |          0.0001 |
|      14 |          54 |       00:00:05 |       33.33% |       50.00% |       1.3665 |       1.0849 |          0.0001 |
|      18 |          72 |       00:00:07 |       55.56% |       50.00% |       1.0071 |       1.1003 |          0.0001 |
|      23 |          90 |       00:00:09 |       66.67% |       50.00% |       1.0433 |       1.1076 |      1.0000e-05 |
|      25 |         100 |       00:00:09 |       55.56% |              |       1.1106 |              |      1.0000e-05 |
|      27 |         108 |       00:00:10 |       66.67% |       50.00% |       1.0192 |       1.1048 |      1.0000e-05 |
|      32 |         126 |       00:00:12 |       22.22% |       50.00% |       1.5091 |       1.1050 |      1.0000e-06 |
|      36 |         144 |       00:00:14 |       77.78% |       50.00% |       0.8533 |       1.1044 |      1.0000e-06 |
|      38 |         150 |       00:00:14 |       66.67% |              |       1.0170 |              |      1.0000e-06 |
|      41 |         162 |       00:00:15 |       55.56% |       50.00% |       1.1825 |       1.1036 |      1.0000e-07 |
|      45 |         180 |       00:00:17 |       11.11% |       50.00% |       1.8190 |       1.1036 |      1.0000e-07 |
|      50 |         198 |       00:00:19 |       44.44% |       50.00% |       1.2476 |       1.1036 |      1.0000e-07 |
|      50 |         200 |       00:00:19 |       77.78% |              |       0.9454 |              |      1.0000e-07 |
|      54 |         216 |       00:00:20 |       33.33% |       50.00% |       1.2616 |       1.1036 |      1.0000e-08 |
|      59 |         234 |       00:00:22 |       55.56% |       50.00% |       1.2155 |       1.1036 |      1.0000e-08 |
|      63 |         250 |       00:00:24 |       44.44% |              |       1.3839 |              |      1.0000e-09 |
|      63 |         252 |       00:00:24 |       66.67% |       50.00% |       0.9663 |       1.1036 |      1.0000e-09 |
|      68 |         270 |       00:00:25 |       66.67% |       50.00% |       1.0510 |       1.1036 |      1.0000e-09 |
|      72 |         288 |       00:00:27 |       55.56% |       50.00% |       1.5562 |       1.1036 |      1.0000e-10 |
|      75 |         300 |       00:00:28 |       44.44% |              |       1.1928 |              |      1.0000e-10 |
|      77 |         306 |       00:00:29 |       66.67% |       50.00% |       1.2106 |       1.1036 |      1.0000e-10 |
|      81 |         324 |       00:00:31 |       66.67% |       50.00% |       1.1008 |       1.1036 |      1.0000e-11 |
|      86 |         342 |       00:00:32 |       44.44% |       50.00% |       1.3043 |       1.1036 |      1.0000e-11 |
|      88 |         350 |       00:00:33 |       66.67% |              |       0.9388 |              |      1.0000e-11 |
|      90 |         360 |       00:00:34 |       88.89% |       50.00% |       0.7051 |       1.1036 |      1.0000e-11 |
|      95 |         378 |       00:00:36 |       44.44% |       50.00% |       1.2948 |       1.1036 |      1.0000e-12 |
|      99 |         396 |       00:00:38 |       66.67% |       50.00% |       1.2381 |       1.1036 |      1.0000e-12 |
|     100 |         400 |       00:00:38 |       44.44% |       50.00% |       1.2663 |       1.1036 |      1.0000e-12 |
|======================================================================================================================|
