Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |        0.00% |       10.00% |       3.0385 |       2.8854 |          0.0010 |
|       6 |          22 |       00:00:08 |       36.36% |       40.00% |       2.3807 |       2.4878 |          0.0010 |
|      11 |          44 |       00:00:15 |       54.55% |       50.00% |       1.3278 |       2.1142 |          0.0001 |
|      13 |          50 |       00:00:17 |       45.45% |              |       1.5129 |              |          0.0001 |
|      17 |          66 |       00:00:23 |       54.55% |       50.00% |       1.3139 |       2.0126 |          0.0001 |
|      22 |          88 |       00:00:30 |       81.82% |       50.00% |       0.9483 |       1.9520 |      1.0000e-05 |
|      25 |         100 |       00:00:34 |       81.82% |              |       0.9588 |              |      1.0000e-05 |
|      28 |         110 |       00:00:38 |       81.82% |       50.00% |       0.9548 |       1.9479 |      1.0000e-05 |
|      33 |         132 |       00:00:46 |       81.82% |       50.00% |       1.1464 |       1.9463 |      1.0000e-06 |
|      38 |         150 |       00:00:52 |       54.55% |              |       1.2592 |              |      1.0000e-06 |
|      39 |         154 |       00:00:53 |       54.55% |       50.00% |       1.3744 |       1.9461 |      1.0000e-06 |
|      44 |         176 |       00:01:01 |       90.91% |       50.00% |       0.8323 |       1.9462 |      1.0000e-07 |
|      50 |         198 |       00:01:08 |       81.82% |       50.00% |       1.0529 |       1.9462 |      1.0000e-07 |
|      50 |         200 |       00:01:09 |       90.91% |              |       1.2267 |              |      1.0000e-07 |
|      55 |         220 |       00:01:16 |       72.73% |       50.00% |       1.1281 |       1.9462 |      1.0000e-08 |
|      61 |         242 |       00:01:24 |       81.82% |       50.00% |       1.0486 |       1.9462 |      1.0000e-09 |
|      63 |         250 |       00:01:26 |       90.91% |              |       0.8910 |              |      1.0000e-09 |
|      66 |         264 |       00:01:31 |       63.64% |       50.00% |       1.1377 |       1.9462 |      1.0000e-09 |
|      72 |         286 |       00:01:39 |       81.82% |       50.00% |       0.8835 |       1.9462 |      1.0000e-10 |
|      75 |         300 |       00:01:44 |       81.82% |              |       0.9937 |              |      1.0000e-10 |
|      77 |         308 |       00:01:47 |       81.82% |       50.00% |       0.7895 |       1.9462 |      1.0000e-10 |
|      83 |         330 |       00:01:54 |       81.82% |       50.00% |       1.0764 |       1.9462 |      1.0000e-11 |
|      88 |         350 |       00:02:01 |       63.64% |              |       1.3399 |              |      1.0000e-11 |
|      88 |         352 |       00:02:02 |       72.73% |       50.00% |       1.1969 |       1.9462 |      1.0000e-11 |
|      94 |         374 |       00:02:10 |       63.64% |       50.00% |       1.2976 |       1.9462 |      1.0000e-12 |
|      99 |         396 |       00:02:17 |       90.91% |       50.00% |       1.0340 |       1.9462 |      1.0000e-12 |
|     100 |         400 |       00:02:19 |       81.82% |       50.00% |       0.9045 |       1.9462 |      1.0000e-12 |
|======================================================================================================================|
