Accuracy,Accuracy Validation,Loss,Loss Validation,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,66.67%,0.0322,0.8035,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,61.90%,0.0165,1.5143,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,90.48%,0.1136,0.4328,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,61.90%,0.0456,1.3018,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,12,,,,,92.00%,73.33%,0.14294,0.81188,,0.083666003,0.079685896,0.093312448,0.332939021
,,,,,,,,,,,,,,
100.00%,71.43%,0.0562,0.5975,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,71.43%,0.0317,1.0725,,,,,,,,,,,
,,,,,,,,,,,,,,
80.00%,61.90%,0.2169,1.2564,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,80.95%,0.2347,0.4907,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,80.95%,0.1752,0.6423,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,13,,,,,86.00%,76.19%,0.31356,0.67042,,0.114017543,0.138836685,0.140451568,0.351886263
,,,,,,,,,,,,,,
70.00%,61.90%,0.3379,1.0286,,,,,,,,,,,
,,,,,,,,,,,,,,
80.00%,95.24%,0.5032,0.2308,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,66.67%,0.1303,0.909,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,85.71%,0.3626,0.3633,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,71.43%,0.2338,0.8204,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,14,,,,,100.00%,80.00%,0.04054,0.55588,,0,0.039825017,0.026322671,0.093907305
,,,,,,,,,,,,,,
100.00%,80.95%,0.0543,0.5079,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,76.19%,0.0184,0.5601,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,80.95%,0.0163,0.6422,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.0348,0.4237,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,76.19%,0.0789,0.6455,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,15,,,,,98.00%,78.09%,0.08704,0.56078,,0.04472136,0.086469694,0.064079895,0.203162034
,,,,,,,,,,,,,,
90.00%,66.67%,0.1944,0.6067,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,71.43%,0.0802,0.8857,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.0782,0.3643,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,80.95%,0.0581,0.4311,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.0243,0.5161,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,16,,,,,98.00%,80.00%,0.10746,0.71104,,0.04472136,0.062062807,0.102450124,0.387905933
,,,,,,,,,,,,,,
90.00%,76.19%,0.2794,1.366,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.0496,0.4572,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,80.95%,0.0282,0.4299,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.057,0.5456,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,71.43%,0.1231,0.7565,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,17,,,,,96.00%,80.95%,0.08912,0.58178,,0.054772256,0.095225007,0.083038106,0.512119871
,,,,,,,,,,,,,,
90.00%,76.19%,0.1721,0.4341,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.027,0.1686,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.0324,0.473,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,66.67%,0.1876,1.4736,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,90.48%,0.0265,0.3596,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,18,,,,,96.00%,87.62%,0.07292,0.50702,,0.054772256,0.054320595,0.052632186,0.245165978
,,,,,,,,,,,,,,
90.00%,85.71%,0.1276,0.6189,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.0156,0.6952,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,90.48%,0.0365,0.365,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,95.24%,0.1293,0.1453,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,80.95%,0.0556,0.7107,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,19,,,,,96.00%,87.62%,0.1205,0.4143,,0.089442719,0.079697848,0.186544378,0.266081717
,,,,,,,,,,,,,,
80.00%,80.95%,0.4528,0.4206,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.0383,0.8065,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,80.95%,0.0198,0.4824,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,90.48%,0.0269,0.27,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,100.00%,0.0647,0.092,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,20,,,,,98.00%,81.90%,0.04444,0.64758,,0.04472136,0.062097327,0.05795544,0.320737739
,,,,,,,,,,,,,,
90.00%,90.48%,0.1474,0.2169,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,76.19%,0.0187,1.0435,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.012,0.5026,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,80.95%,0.0297,0.6108,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,76.19%,0.0144,0.8641,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,21,,,,,100.00%,79.05%,0.01576,0.74338,,0,0.079650035,0.002490582,0.38060684
,,,,,,,,,,,,,,
100.00%,85.71%,0.0144,0.3943,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.0128,0.4701,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,66.67%,0.0149,1.3612,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,76.19%,0.0185,0.7701,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,80.95%,0.0182,0.7212,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,22,,,,,100.00%,85.71%,0.01184,0.5092,,0,0,0.010568727,0.151058482
,,,,,,,,,,,,,,
100.00%,85.71%,0.0095,0.6252,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.0304,0.5608,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.0051,0.3115,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.0089,0.3908,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.0053,0.6577,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,23,,,,,100.00%,90.48%,0.01316,0.42452,,0,0.067351926,0.008309813,0.254518618
,,,,,,,,,,,,,,
100.00%,100.00%,0.0162,0.0334,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,90.48%,0.0239,0.5825,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,90.48%,0.0032,0.3534,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,80.95%,0.016,0.6988,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,90.48%,0.0065,0.4545,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,24,,,,,98.00%,79.05%,0.04872,0.74854,,0.04472136,0.042574734,0.033751548,0.148039464
,,,,,,,,,,,,,,
100.00%,76.19%,0.0283,0.8481,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,76.19%,0.0674,0.746,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,80.95%,0.0372,0.692,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,76.19%,0.0131,0.9203,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,85.71%,0.0976,0.5363,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,25,,,,,100.00%,85.71%,0.01768,0.48904,,0,0.033693649,0.006848138,0.18920158
,,,,,,,,,,,,,,
100.00%,85.71%,0.014,0.7769,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.0282,0.5471,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.0199,0.4208,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,90.48%,0.0102,0.2673,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,80.95%,0.0161,0.4331,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,26,,,,,96.00%,83.81%,0.08152,0.61774,,0.054772256,0.042613871,0.067076576,0.233609574
,,,,,,,,,,,,,,
100.00%,85.71%,0.0909,0.3839,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,80.95%,0.0884,0.7631,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,80.95%,0.184,0.7218,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,80.95%,0.0097,0.8664,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,90.48%,0.0346,0.3535,,,,,,,,,,,
