Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:00 |        0.00% |       25.00% |       2.2112 |       2.1299 |          0.0010 |
|       5 |          18 |       00:00:02 |       33.33% |       50.00% |       1.8283 |       1.5765 |          0.0010 |
|       9 |          36 |       00:00:03 |       77.78% |      100.00% |       0.8646 |       0.9132 |          0.0010 |
|      13 |          50 |       00:00:05 |      100.00% |              |       0.6562 |              |          0.0001 |
|      14 |          54 |       00:00:05 |       88.89% |       75.00% |       0.7401 |       0.8535 |          0.0001 |
|      18 |          72 |       00:00:07 |       88.89% |       75.00% |       0.6398 |       0.8640 |          0.0001 |
|      23 |          90 |       00:00:08 |      100.00% |       75.00% |       0.4034 |       0.8360 |      1.0000e-05 |
|      25 |         100 |       00:00:09 |      100.00% |              |       0.4969 |              |      1.0000e-05 |
|      27 |         108 |       00:00:10 |      100.00% |       75.00% |       0.4609 |       0.8323 |      1.0000e-05 |
|      32 |         126 |       00:00:11 |      100.00% |       75.00% |       0.5065 |       0.8298 |      1.0000e-06 |
|      36 |         144 |       00:00:13 |      100.00% |       75.00% |       0.4356 |       0.8296 |      1.0000e-06 |
|      38 |         150 |       00:00:14 |      100.00% |              |       0.5083 |              |      1.0000e-06 |
|      41 |         162 |       00:00:15 |       88.89% |       75.00% |       0.5425 |       0.8284 |      1.0000e-07 |
|      45 |         180 |       00:00:16 |       88.89% |       75.00% |       0.4714 |       0.8284 |      1.0000e-07 |
|      50 |         198 |       00:00:18 |       88.89% |       75.00% |       0.5822 |       0.8283 |      1.0000e-07 |
|      50 |         200 |       00:00:18 |       77.78% |              |       0.7597 |              |      1.0000e-07 |
|      54 |         216 |       00:00:20 |       88.89% |       75.00% |       0.4176 |       0.8283 |      1.0000e-08 |
|      59 |         234 |       00:00:21 |       88.89% |       75.00% |       0.5248 |       0.8283 |      1.0000e-08 |
|      63 |         250 |       00:00:23 |       88.89% |              |       0.4812 |              |      1.0000e-09 |
|      63 |         252 |       00:00:23 |      100.00% |       75.00% |       0.4713 |       0.8283 |      1.0000e-09 |
|      68 |         270 |       00:00:25 |      100.00% |       75.00% |       0.4905 |       0.8283 |      1.0000e-09 |
|      72 |         288 |       00:00:26 |       88.89% |       75.00% |       0.3897 |       0.8283 |      1.0000e-10 |
|      75 |         300 |       00:00:27 |      100.00% |              |       0.4619 |              |      1.0000e-10 |
|      77 |         306 |       00:00:28 |       88.89% |       75.00% |       0.6175 |       0.8283 |      1.0000e-10 |
|      81 |         324 |       00:00:30 |      100.00% |       75.00% |       0.4392 |       0.8283 |      1.0000e-11 |
|      86 |         342 |       00:00:31 |      100.00% |       75.00% |       0.5167 |       0.8283 |      1.0000e-11 |
|      88 |         350 |       00:00:32 |      100.00% |              |       0.3915 |              |      1.0000e-11 |
|      90 |         360 |       00:00:33 |       88.89% |       75.00% |       0.5604 |       0.8283 |      1.0000e-11 |
|      95 |         378 |       00:00:35 |      100.00% |       75.00% |       0.4610 |       0.8283 |      1.0000e-12 |
|      99 |         396 |       00:00:36 |      100.00% |       75.00% |       0.4993 |       0.8283 |      1.0000e-12 |
|     100 |         400 |       00:00:37 |      100.00% |       75.00% |       0.3841 |       0.8283 |      1.0000e-12 |
|======================================================================================================================|
