Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:00 |       11.11% |       25.00% |       2.0445 |       2.0137 |          0.0010 |
|       5 |          18 |       00:00:02 |       33.33% |        0.00% |       1.5262 |       2.3495 |          0.0010 |
|       9 |          36 |       00:00:04 |       88.89% |       25.00% |       0.5797 |       2.0217 |          0.0010 |
|      13 |          50 |       00:00:05 |       77.78% |              |       0.5032 |              |          0.0001 |
|      14 |          54 |       00:00:05 |       88.89% |       25.00% |       0.4077 |       1.8688 |          0.0001 |
|      18 |          72 |       00:00:07 |       88.89% |       25.00% |       0.5169 |       1.9643 |          0.0001 |
|      23 |          90 |       00:00:09 |       88.89% |       25.00% |       0.4023 |       2.0440 |      1.0000e-05 |
|      25 |         100 |       00:00:10 |      100.00% |              |       0.1549 |              |      1.0000e-05 |
|      27 |         108 |       00:00:10 |      100.00% |       25.00% |       0.1602 |       2.0445 |      1.0000e-05 |
|      32 |         126 |       00:00:12 |       88.89% |       25.00% |       0.2518 |       2.0313 |      1.0000e-06 |
|      36 |         144 |       00:00:14 |      100.00% |       25.00% |       0.2808 |       2.0332 |      1.0000e-06 |
|      38 |         150 |       00:00:15 |      100.00% |              |       0.1573 |              |      1.0000e-06 |
|      41 |         162 |       00:00:16 |      100.00% |       25.00% |       0.2032 |       2.0342 |      1.0000e-07 |
|      45 |         180 |       00:00:18 |      100.00% |       25.00% |       0.2020 |       2.0341 |      1.0000e-07 |
|      50 |         198 |       00:00:20 |      100.00% |       25.00% |       0.2749 |       2.0340 |      1.0000e-07 |
|      50 |         200 |       00:00:20 |      100.00% |              |       0.1491 |              |      1.0000e-07 |
|      54 |         216 |       00:00:22 |      100.00% |       25.00% |       0.1432 |       2.0340 |      1.0000e-08 |
|      59 |         234 |       00:00:23 |      100.00% |       25.00% |       0.1872 |       2.0340 |      1.0000e-08 |
|      63 |         250 |       00:00:25 |      100.00% |              |       0.2515 |              |      1.0000e-09 |
|      63 |         252 |       00:00:25 |      100.00% |       25.00% |       0.2155 |       2.0340 |      1.0000e-09 |
|      68 |         270 |       00:00:27 |      100.00% |       25.00% |       0.2123 |       2.0340 |      1.0000e-09 |
|      72 |         288 |       00:00:29 |      100.00% |       25.00% |       0.1706 |       2.0340 |      1.0000e-10 |
|      75 |         300 |       00:00:30 |      100.00% |              |       0.2202 |              |      1.0000e-10 |
|      77 |         306 |       00:00:30 |      100.00% |       25.00% |       0.2431 |       2.0340 |      1.0000e-10 |
|      81 |         324 |       00:00:32 |      100.00% |       25.00% |       0.1873 |       2.0340 |      1.0000e-11 |
|      86 |         342 |       00:00:34 |      100.00% |       25.00% |       0.2151 |       2.0340 |      1.0000e-11 |
|      88 |         350 |       00:00:34 |      100.00% |              |       0.1449 |              |      1.0000e-11 |
|      90 |         360 |       00:00:35 |      100.00% |       25.00% |       0.1916 |       2.0340 |      1.0000e-11 |
|      95 |         378 |       00:00:37 |      100.00% |       25.00% |       0.1704 |       2.0340 |      1.0000e-12 |
|      99 |         396 |       00:00:39 |      100.00% |       25.00% |       0.1706 |       2.0340 |      1.0000e-12 |
|     100 |         400 |       00:00:39 |      100.00% |       25.00% |       0.1804 |       2.0340 |      1.0000e-12 |
|======================================================================================================================|
