Accuracy,Accuracy Validation,Loss,Loss Validation,,,,,,,,,,,
88.89%,100.00%,0.6905,0.7655,,,,,,,,,,,
,,,,,,,,,,,,,,
88.89%,0.00%,0.4358,2.8139,,,,,,,,,,,
,,,,,,,,,,,,,,
88.89%,50.00%,0.7608,1.1174,,,,,,,,,,,
,,,,,,,,,,,,,,
66.67%,25.00%,0.8769,1.4987,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,12,,,,,80.00%,30.00%,0.67944,1.41462,,0.198741722,0.273861279,0.199660281,0.882080017
,,,,,,,,,,,,,,
55.56%,50.00%,1.0004,0.845,,,,,,,,,,,
,,,,,,,,,,,,,,
77.78%,50.00%,0.6072,1.0905,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,0.00%,0.5066,2.9417,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,50.00%,0.5454,0.8239,,,,,,,,,,,
,,,,,,,,,,,,,,
66.67%,0.00%,0.7376,1.372,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,13,,,,,75.56%,40.00%,0.7089,1.39084,,0.144856677,0.285043856,0.146470902,0.573063786
,,,,,,,,,,,,,,
66.67%,0.00%,0.6717,1.84,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,50.00%,0.6301,0.9935,,,,,,,,,,,
,,,,,,,,,,,,,,
77.78%,75.00%,0.5954,0.5848,,,,,,,,,,,
,,,,,,,,,,,,,,
66.67%,50.00%,0.9633,1.6683,,,,,,,,,,,
,,,,,,,,,,,,,,
66.67%,25.00%,0.684,1.8676,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,14,,,,,88.89%,30.00%,0.64804,1.43552,,0.1111,0.32596012,0.088166365,0.544520442
,,,,,,,,,,,,,,
77.78%,0.00%,0.619,1.5353,,,,,,,,,,,
,,,,,,,,,,,,,,
77.78%,0.00%,0.8008,2.2279,,,,,,,,,,,
,,,,,,,,,,,,,,
88.89%,50.00%,0.637,1.0415,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,75.00%,0.5768,0.8198,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,25.00%,0.6066,1.5531,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,15,,,,,86.67%,65.00%,0.56932,1.00594,,0.092952929,0.223606798,0.156244926,0.214305327
,,,,,,,,,,,,,,
77.78%,25.00%,0.4506,1.2102,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,75.00%,0.4174,1.2041,,,,,,,,,,,
,,,,,,,,,,,,,,
77.78%,75.00%,0.7835,0.9816,,,,,,,,,,,
,,,,,,,,,,,,,,
88.89%,75.00%,0.6782,0.9407,,,,,,,,,,,
,,,,,,,,,,,,,,
88.89%,75.00%,0.5169,0.6931,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,16,,,,,88.89%,65.00%,0.45638,0.91482,,0.078559563,0.285043856,0.075362338,0.521770881
,,,,,,,,,,,,,,
88.89%,75.00%,0.3299,0.5536,,,,,,,,,,,
,,,,,,,,,,,,,,
77.78%,50.00%,0.4538,0.8938,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,100.00%,0.495,0.6807,,,,,,,,,,,
,,,,,,,,,,,,,,
88.89%,25.00%,0.4778,1.8202,,,,,,,,,,,
,,,,,,,,,,,,,,
88.89%,75.00%,0.5254,0.6258,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,17,,,,,88.89%,60.00%,0.53896,1.18484,,0.078559563,0.285043856,0.249630703,0.497064335
,,,,,,,,,,,,,,
100.00%,25.00%,0.2081,1.1762,,,,,,,,,,,
,,,,,,,,,,,,,,
88.89%,50.00%,0.6325,2.0382,,,,,,,,,,,
,,,,,,,,,,,,,,
77.78%,50.00%,0.8913,0.9221,,,,,,,,,,,
,,,,,,,,,,,,,,
88.89%,100.00%,0.4934,0.7899,,,,,,,,,,,
,,,,,,,,,,,,,,
88.89%,75.00%,0.4695,0.9978,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,18,,,,,91.11%,65.00%,0.45924,0.9409,,0.092952929,0.285043856,0.150114516,0.214931396
,,,,,,,,,,,,,,
88.89%,75.00%,0.3483,0.8039,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,75.00%,0.3841,0.8283,,,,,,,,,,,
,,,,,,,,,,,,,,
88.89%,100.00%,0.5583,0.7422,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,50.00%,0.3316,1.0833,,,,,,,,,,,
,,,,,,,,,,,,,,
77.78%,25.00%,0.6739,1.2468,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,19,,,,,93.33%,70.00%,0.5188,0.97386,,0.099370861,0.273861279,0.091734127,0.365776746
,,,,,,,,,,,,,,
100.00%,75.00%,0.4817,0.8893,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,25.00%,0.6125,1.2475,,,,,,,,,,,
,,,,,,,,,,,,,,
88.89%,75.00%,0.5101,1.4285,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,75.00%,0.3893,0.7921,,,,,,,,,,,
,,,,,,,,,,,,,,
77.78%,100.00%,0.6004,0.5119,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,20,,,,,95.56%,65.00%,0.44474,0.86946,,0.060851976,0.285043856,0.118458592,0.382229765
,,,,,,,,,,,,,,
100.00%,75.00%,0.4212,0.8727,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,50.00%,0.3041,0.9344,,,,,,,,,,,
,,,,,,,,,,,,,,
88.89%,75.00%,0.5772,0.5659,,,,,,,,,,,
,,,,,,,,,,,,,,
88.89%,100.00%,0.5548,0.5074,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,25.00%,0.3664,1.4669,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,21,,,,,93.33%,75.00%,0.42226,0.7905,,0.060851976,0.176776695,0.144682991,0.362909272
,,,,,,,,,,,,,,
88.89%,75.00%,0.3191,0.662,,,,,,,,,,,
,,,,,,,,,,,,,,
88.89%,100.00%,0.6375,0.3676,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,75.00%,0.4303,0.992,,,,,,,,,,,
,,,,,,,,,,,,,,
88.89%,50.00%,0.4609,1.3043,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,75.00%,0.2635,0.6266,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,22,,,,,97.78%,80.00%,0.27602,0.54612,,0.04968543,0.32596012,0.10631038,0.445985602
,,,,,,,,,,,,,,
88.89%,25.00%,0.4343,1.2061,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,100.00%,0.1593,0.2814,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,75.00%,0.3231,0.7646,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,100.00%,0.2456,0.4034,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,100.00%,0.2178,0.0751,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,23,,,,,91.11%,65.00%,0.40018,0.8744,,0.04968543,0.285043856,0.131194844,0.462796937
,,,,,,,,,,,,,,
88.89%,75.00%,0.3001,0.4086,,,,,,,,,,,
,,,,,,,,,,,,,,
88.89%,50.00%,0.3672,1.0245,,,,,,,,,,,
,,,,,,,,,,,,,,
88.89%,75.00%,0.4775,0.8194,,,,,,,,,,,
,,,,,,,,,,,,,,
88.89%,25.00%,0.5865,1.582,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,100.00%,0.2696,0.5375,,,,,,,,,,,
,,,,,,,,,,,,,,
