Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:00 |       33.33% |        0.00% |       2.0425 |       2.1494 |          0.0010 |
|       5 |          18 |       00:00:02 |       55.56% |        0.00% |       1.4660 |       2.0950 |          0.0010 |
|       9 |          36 |       00:00:03 |       77.78% |       25.00% |       1.0212 |       1.9940 |          0.0010 |
|      13 |          50 |       00:00:05 |       88.89% |              |       0.6250 |              |          0.0001 |
|      14 |          54 |       00:00:05 |       77.78% |        0.00% |       0.7237 |       2.0364 |          0.0001 |
|      18 |          72 |       00:00:07 |       88.89% |       25.00% |       0.7129 |       1.8332 |          0.0001 |
|      23 |          90 |       00:00:08 |       77.78% |       25.00% |       0.6410 |       1.8827 |      1.0000e-05 |
|      25 |         100 |       00:00:09 |      100.00% |              |       0.4603 |              |      1.0000e-05 |
|      27 |         108 |       00:00:10 |       77.78% |       25.00% |       0.8357 |       1.8584 |      1.0000e-05 |
|      32 |         126 |       00:00:11 |       66.67% |       25.00% |       0.6887 |       1.8697 |      1.0000e-06 |
|      36 |         144 |       00:00:13 |       88.89% |       25.00% |       0.4919 |       1.8681 |      1.0000e-06 |
|      38 |         150 |       00:00:13 |       88.89% |              |       0.6197 |              |      1.0000e-06 |
|      41 |         162 |       00:00:14 |       88.89% |       25.00% |       0.5489 |       1.8674 |      1.0000e-07 |
|      45 |         180 |       00:00:16 |       88.89% |       25.00% |       0.6520 |       1.8676 |      1.0000e-07 |
|      50 |         198 |       00:00:18 |       77.78% |       25.00% |       0.5317 |       1.8676 |      1.0000e-07 |
|      50 |         200 |       00:00:18 |      100.00% |              |       0.5151 |              |      1.0000e-07 |
|      54 |         216 |       00:00:19 |       77.78% |       25.00% |       0.8557 |       1.8676 |      1.0000e-08 |
|      59 |         234 |       00:00:21 |       88.89% |       25.00% |       0.6863 |       1.8676 |      1.0000e-08 |
|      63 |         250 |       00:00:22 |       66.67% |              |       0.8611 |              |      1.0000e-09 |
|      63 |         252 |       00:00:23 |       88.89% |       25.00% |       0.4274 |       1.8676 |      1.0000e-09 |
|      68 |         270 |       00:00:24 |       88.89% |       25.00% |       0.5147 |       1.8676 |      1.0000e-09 |
|      72 |         288 |       00:00:26 |       88.89% |       25.00% |       0.7535 |       1.8676 |      1.0000e-10 |
|      75 |         300 |       00:00:27 |       88.89% |              |       0.5501 |              |      1.0000e-10 |
|      77 |         306 |       00:00:27 |       88.89% |       25.00% |       0.5532 |       1.8676 |      1.0000e-10 |
|      81 |         324 |       00:00:29 |       77.78% |       25.00% |       0.6982 |       1.8676 |      1.0000e-11 |
|      86 |         342 |       00:00:31 |       77.78% |       25.00% |       0.6631 |       1.8676 |      1.0000e-11 |
|      88 |         350 |       00:00:32 |       88.89% |              |       0.4646 |              |      1.0000e-11 |
|      90 |         360 |       00:00:32 |      100.00% |       25.00% |       0.3028 |       1.8676 |      1.0000e-11 |
|      95 |         378 |       00:00:34 |       88.89% |       25.00% |       0.6799 |       1.8676 |      1.0000e-12 |
|      99 |         396 |       00:00:36 |       77.78% |       25.00% |       0.8001 |       1.8676 |      1.0000e-12 |
|     100 |         400 |       00:00:36 |       66.67% |       25.00% |       0.6840 |       1.8676 |      1.0000e-12 |
|======================================================================================================================|
