Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:00 |       11.11% |        0.00% |       2.0804 |       2.2107 |          0.0010 |
|       5 |          18 |       00:00:02 |       33.33% |        0.00% |       1.6562 |       2.2230 |          0.0010 |
|       9 |          36 |       00:00:03 |       66.67% |        0.00% |       0.9126 |       2.0871 |          0.0010 |
|      13 |          50 |       00:00:05 |       66.67% |              |       1.0393 |              |          0.0001 |
|      14 |          54 |       00:00:05 |       77.78% |        0.00% |       0.7559 |       2.1153 |          0.0001 |
|      18 |          72 |       00:00:07 |       88.89% |        0.00% |       0.5943 |       2.0121 |          0.0001 |
|      23 |          90 |       00:00:08 |       66.67% |        0.00% |       0.9969 |       2.0083 |      1.0000e-05 |
|      25 |         100 |       00:00:09 |       77.78% |              |       0.7341 |              |      1.0000e-05 |
|      27 |         108 |       00:00:10 |       66.67% |        0.00% |       0.6369 |       2.0329 |      1.0000e-05 |
|      32 |         126 |       00:00:12 |       88.89% |        0.00% |       0.5346 |       2.0494 |      1.0000e-06 |
|      36 |         144 |       00:00:13 |       88.89% |        0.00% |       0.7250 |       2.0491 |      1.0000e-06 |
|      38 |         150 |       00:00:14 |      100.00% |              |       0.5834 |              |      1.0000e-06 |
|      41 |         162 |       00:00:15 |       77.78% |        0.00% |       0.9016 |       2.0476 |      1.0000e-07 |
|      45 |         180 |       00:00:16 |       77.78% |        0.00% |       0.6320 |       2.0475 |      1.0000e-07 |
|      50 |         198 |       00:00:18 |       77.78% |        0.00% |       0.8973 |       2.0475 |      1.0000e-07 |
|      50 |         200 |       00:00:18 |       88.89% |              |       0.7332 |              |      1.0000e-07 |
|      54 |         216 |       00:00:20 |      100.00% |        0.00% |       0.5835 |       2.0475 |      1.0000e-08 |
|      59 |         234 |       00:00:21 |       66.67% |        0.00% |       0.8264 |       2.0475 |      1.0000e-08 |
|      63 |         250 |       00:00:23 |       77.78% |              |       0.7501 |              |      1.0000e-09 |
|      63 |         252 |       00:00:23 |       77.78% |        0.00% |       0.8151 |       2.0475 |      1.0000e-09 |
|      68 |         270 |       00:00:25 |      100.00% |        0.00% |       0.5856 |       2.0475 |      1.0000e-09 |
|      72 |         288 |       00:00:26 |       88.89% |        0.00% |       0.6027 |       2.0475 |      1.0000e-10 |
|      75 |         300 |       00:00:27 |       88.89% |              |       0.4467 |              |      1.0000e-10 |
|      77 |         306 |       00:00:28 |      100.00% |        0.00% |       0.4817 |       2.0475 |      1.0000e-10 |
|      81 |         324 |       00:00:30 |       88.89% |        0.00% |       0.5788 |       2.0475 |      1.0000e-11 |
|      86 |         342 |       00:00:31 |       88.89% |        0.00% |       0.6216 |       2.0475 |      1.0000e-11 |
|      88 |         350 |       00:00:32 |       66.67% |              |       0.8360 |              |      1.0000e-11 |
|      90 |         360 |       00:00:33 |       66.67% |        0.00% |       1.0459 |       2.0475 |      1.0000e-11 |
|      95 |         378 |       00:00:35 |       88.89% |        0.00% |       0.4549 |       2.0475 |      1.0000e-12 |
|      99 |         396 |       00:00:36 |       88.89% |        0.00% |       0.7189 |       2.0475 |      1.0000e-12 |
|     100 |         400 |       00:00:37 |      100.00% |        0.00% |       0.3411 |       2.0475 |      1.0000e-12 |
|======================================================================================================================|
