Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:00 |       12.50% |       12.50% |       2.1022 |       2.0742 |          0.0010 |
|       4 |          16 |       00:00:01 |       50.00% |       25.00% |       1.6139 |       1.8367 |          0.0010 |
|       8 |          32 |       00:00:03 |       87.50% |       37.50% |       0.7535 |       1.4794 |          0.0010 |
|      12 |          48 |       00:00:04 |      100.00% |       37.50% |       0.3586 |       1.2820 |          0.0001 |
|      13 |          50 |       00:00:04 |      100.00% |              |       0.3969 |              |          0.0001 |
|      16 |          64 |       00:00:06 |       75.00% |       37.50% |       0.8066 |       1.3273 |          0.0001 |
|      20 |          80 |       00:00:07 |       75.00% |       25.00% |       0.6711 |       1.3434 |          0.0001 |
|      24 |          96 |       00:00:08 |       87.50% |       37.50% |       0.4233 |       1.3387 |      1.0000e-05 |
|      25 |         100 |       00:00:09 |       37.50% |              |       1.0029 |              |      1.0000e-05 |
|      28 |         112 |       00:00:10 |      100.00% |       37.50% |       0.6022 |       1.3322 |      1.0000e-05 |
|      32 |         128 |       00:00:11 |       87.50% |       37.50% |       0.7011 |       1.3267 |      1.0000e-06 |
|      36 |         144 |       00:00:13 |       87.50% |       37.50% |       0.4118 |       1.3260 |      1.0000e-06 |
|      38 |         150 |       00:00:13 |      100.00% |              |       0.4381 |              |      1.0000e-06 |
|      40 |         160 |       00:00:14 |      100.00% |       37.50% |       0.4551 |       1.3253 |      1.0000e-06 |
|      44 |         176 |       00:00:15 |       87.50% |       37.50% |       0.6242 |       1.3253 |      1.0000e-07 |
|      48 |         192 |       00:00:17 |       75.00% |       37.50% |       0.5813 |       1.3253 |      1.0000e-07 |
|      50 |         200 |       00:00:17 |       87.50% |              |       0.5828 |              |      1.0000e-07 |
|      52 |         208 |       00:00:18 |       50.00% |       37.50% |       0.8184 |       1.3253 |      1.0000e-08 |
|      56 |         224 |       00:00:19 |      100.00% |       37.50% |       0.3460 |       1.3252 |      1.0000e-08 |
|      60 |         240 |       00:00:21 |       75.00% |       37.50% |       0.4944 |       1.3252 |      1.0000e-08 |
|      63 |         250 |       00:00:22 |       87.50% |              |       0.3365 |              |      1.0000e-09 |
|      64 |         256 |       00:00:22 |      100.00% |       37.50% |       0.5081 |       1.3252 |      1.0000e-09 |
|      68 |         272 |       00:00:24 |       75.00% |       37.50% |       0.7000 |       1.3252 |      1.0000e-09 |
|      72 |         288 |       00:00:25 |       87.50% |       37.50% |       0.6936 |       1.3252 |      1.0000e-10 |
|      75 |         300 |       00:00:26 |       75.00% |              |       0.6924 |              |      1.0000e-10 |
|      76 |         304 |       00:00:26 |       75.00% |       37.50% |       0.6914 |       1.3252 |      1.0000e-10 |
|      80 |         320 |       00:00:28 |      100.00% |       37.50% |       0.2581 |       1.3252 |      1.0000e-10 |
|      84 |         336 |       00:00:29 |       75.00% |       37.50% |       0.7702 |       1.3252 |      1.0000e-11 |
|      88 |         350 |       00:00:30 |      100.00% |              |       0.4500 |              |      1.0000e-11 |
|      88 |         352 |       00:00:31 |       87.50% |       37.50% |       0.5583 |       1.3252 |      1.0000e-11 |
|      92 |         368 |       00:00:32 |       75.00% |       37.50% |       0.6121 |       1.3252 |      1.0000e-12 |
|      96 |         384 |       00:00:33 |       75.00% |       37.50% |       0.6955 |       1.3252 |      1.0000e-12 |
|     100 |         400 |       00:00:35 |      100.00% |       37.50% |       0.4969 |       1.3252 |      1.0000e-12 |
|======================================================================================================================|
