Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:00 |        0.00% |        0.00% |       2.2605 |       2.1254 |          0.0010 |
|       4 |          16 |       00:00:02 |       50.00% |       25.00% |       1.6153 |       1.9327 |          0.0010 |
|       8 |          32 |       00:00:03 |       75.00% |       75.00% |       0.7546 |       1.2779 |          0.0010 |
|      12 |          48 |       00:00:04 |       75.00% |       87.50% |       0.5697 |       0.9104 |          0.0001 |
|      13 |          50 |       00:00:04 |       75.00% |              |       0.7878 |              |          0.0001 |
|      16 |          64 |       00:00:06 |      100.00% |       75.00% |       0.2884 |       0.8966 |          0.0001 |
|      20 |          80 |       00:00:07 |      100.00% |       75.00% |       0.1720 |       0.8508 |          0.0001 |
|      24 |          96 |       00:00:09 |       87.50% |       75.00% |       0.3616 |       0.8443 |      1.0000e-05 |
|      25 |         100 |       00:00:09 |      100.00% |              |       0.2647 |              |      1.0000e-05 |
|      28 |         112 |       00:00:10 |      100.00% |       75.00% |       0.3765 |       0.8379 |      1.0000e-05 |
|      32 |         128 |       00:00:12 |       87.50% |       75.00% |       0.5910 |       0.8369 |      1.0000e-06 |
|      36 |         144 |       00:00:13 |      100.00% |       75.00% |       0.1961 |       0.8368 |      1.0000e-06 |
|      38 |         150 |       00:00:13 |      100.00% |              |       0.2813 |              |      1.0000e-06 |
|      40 |         160 |       00:00:14 |       87.50% |       75.00% |       0.3369 |       0.8367 |      1.0000e-06 |
|      44 |         176 |       00:00:16 |       87.50% |       75.00% |       0.3295 |       0.8367 |      1.0000e-07 |
|      48 |         192 |       00:00:17 |      100.00% |       75.00% |       0.1907 |       0.8367 |      1.0000e-07 |
|      50 |         200 |       00:00:18 |      100.00% |              |       0.3131 |              |      1.0000e-07 |
|      52 |         208 |       00:00:18 |       87.50% |       75.00% |       0.4172 |       0.8366 |      1.0000e-08 |
|      56 |         224 |       00:00:20 |       87.50% |       75.00% |       0.4319 |       0.8366 |      1.0000e-08 |
|      60 |         240 |       00:00:21 |       87.50% |       75.00% |       0.3692 |       0.8366 |      1.0000e-08 |
|      63 |         250 |       00:00:22 |       87.50% |              |       0.5626 |              |      1.0000e-09 |
|      64 |         256 |       00:00:22 |      100.00% |       75.00% |       0.1804 |       0.8366 |      1.0000e-09 |
|      68 |         272 |       00:00:24 |      100.00% |       75.00% |       0.2894 |       0.8366 |      1.0000e-09 |
|      72 |         288 |       00:00:25 |       87.50% |       75.00% |       0.3427 |       0.8366 |      1.0000e-10 |
|      75 |         300 |       00:00:26 |      100.00% |              |       0.3446 |              |      1.0000e-10 |
|      76 |         304 |       00:00:27 |      100.00% |       75.00% |       0.2927 |       0.8366 |      1.0000e-10 |
|      80 |         320 |       00:00:28 |      100.00% |       75.00% |       0.4210 |       0.8366 |      1.0000e-10 |
|      84 |         336 |       00:00:29 |      100.00% |       75.00% |       0.3074 |       0.8366 |      1.0000e-11 |
|      88 |         350 |       00:00:30 |      100.00% |              |       0.2329 |              |      1.0000e-11 |
|      88 |         352 |       00:00:31 |      100.00% |       75.00% |       0.1661 |       0.8366 |      1.0000e-11 |
|      92 |         368 |       00:00:32 |      100.00% |       75.00% |       0.3625 |       0.8366 |      1.0000e-12 |
|      96 |         384 |       00:00:33 |       75.00% |       75.00% |       0.5551 |       0.8366 |      1.0000e-12 |
|     100 |         400 |       00:00:35 |      100.00% |       75.00% |       0.3896 |       0.8366 |      1.0000e-12 |
|======================================================================================================================|
