Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:00 |       50.00% |       12.50% |       1.9519 |       2.0712 |          0.0010 |
|       4 |          16 |       00:00:01 |       37.50% |       12.50% |       1.6760 |       1.9569 |          0.0010 |
|       8 |          32 |       00:00:03 |       37.50% |       12.50% |       1.5929 |       2.0331 |          0.0010 |
|      12 |          48 |       00:00:04 |       87.50% |       25.00% |       0.7690 |       1.9269 |          0.0001 |
|      13 |          50 |       00:00:04 |       75.00% |              |       0.6352 |              |          0.0001 |
|      16 |          64 |       00:00:06 |       62.50% |       12.50% |       1.2700 |       1.9765 |          0.0001 |
|      20 |          80 |       00:00:07 |      100.00% |       25.00% |       0.5279 |       1.9571 |          0.0001 |
|      24 |          96 |       00:00:08 |       87.50% |       25.00% |       0.3988 |       1.9613 |      1.0000e-05 |
|      25 |         100 |       00:00:09 |       75.00% |              |       0.7566 |              |      1.0000e-05 |
|      28 |         112 |       00:00:10 |       75.00% |       12.50% |       0.7911 |       1.9605 |      1.0000e-05 |
|      32 |         128 |       00:00:11 |       62.50% |       12.50% |       1.0114 |       1.9560 |      1.0000e-06 |
|      36 |         144 |       00:00:12 |       87.50% |       12.50% |       0.6898 |       1.9557 |      1.0000e-06 |
|      38 |         150 |       00:00:13 |       87.50% |              |       0.5698 |              |      1.0000e-06 |
|      40 |         160 |       00:00:14 |       87.50% |       12.50% |       0.8139 |       1.9551 |      1.0000e-06 |
|      44 |         176 |       00:00:15 |       87.50% |       12.50% |       0.5564 |       1.9551 |      1.0000e-07 |
|      48 |         192 |       00:00:16 |       87.50% |       12.50% |       0.5116 |       1.9551 |      1.0000e-07 |
|      50 |         200 |       00:00:17 |       87.50% |              |       0.7520 |              |      1.0000e-07 |
|      52 |         208 |       00:00:17 |       87.50% |       12.50% |       0.6911 |       1.9551 |      1.0000e-08 |
|      56 |         224 |       00:00:19 |       75.00% |       12.50% |       0.6608 |       1.9551 |      1.0000e-08 |
|      60 |         240 |       00:00:20 |       87.50% |       12.50% |       0.6813 |       1.9551 |      1.0000e-08 |
|      63 |         250 |       00:00:21 |       87.50% |              |       0.7521 |              |      1.0000e-09 |
|      64 |         256 |       00:00:21 |       87.50% |       12.50% |       0.6692 |       1.9551 |      1.0000e-09 |
|      68 |         272 |       00:00:23 |       87.50% |       12.50% |       0.7378 |       1.9551 |      1.0000e-09 |
|      72 |         288 |       00:00:24 |       75.00% |       12.50% |       0.8410 |       1.9551 |      1.0000e-10 |
|      75 |         300 |       00:00:25 |       87.50% |              |       0.5658 |              |      1.0000e-10 |
|      76 |         304 |       00:00:26 |       37.50% |       12.50% |       1.1928 |       1.9551 |      1.0000e-10 |
|      80 |         320 |       00:00:27 |       62.50% |       12.50% |       0.8873 |       1.9551 |      1.0000e-10 |
|      84 |         336 |       00:00:28 |       87.50% |       12.50% |       0.5874 |       1.9551 |      1.0000e-11 |
|      88 |         350 |       00:00:30 |       75.00% |              |       0.9977 |              |      1.0000e-11 |
|      88 |         352 |       00:00:30 |       87.50% |       12.50% |       0.4716 |       1.9551 |      1.0000e-11 |
|      92 |         368 |       00:00:31 |       75.00% |       12.50% |       0.6832 |       1.9551 |      1.0000e-12 |
|      96 |         384 |       00:00:33 |      100.00% |       12.50% |       0.4360 |       1.9551 |      1.0000e-12 |
|     100 |         400 |       00:00:34 |       62.50% |       12.50% |       1.0094 |       1.9551 |      1.0000e-12 |
|======================================================================================================================|
