Accuracy,Accuracy Validation,Loss,Loss Validation,,,,,,,,,,,
100.00%,61.90%,0.337,0.9586,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,71.43%,0.3348,0.8302,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,66.67%,0.3657,0.9999,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,57.14%,0.2216,1.1312,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,12,,,,,88.00%,65.71%,0.40048,1.118,,0.130384048,0.123261701,0.193344723,0.424620678
,,,,,,,,,,,,,,
100.00%,80.95%,0.2612,0.7771,,,,,,,,,,,
,,,,,,,,,,,,,,
70.00%,76.19%,0.6131,0.6931,,,,,,,,,,,
,,,,,,,,,,,,,,
80.00%,57.14%,0.6073,1.5639,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,52.38%,0.2223,1.5733,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,61.90%,0.2985,0.9826,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,13,,,,,92.00%,57.14%,0.34068,1.19574,,0.083666003,0.116626335,0.155519796,0.328330478
,,,,,,,,,,,,,,
100.00%,71.43%,0.2388,1.0889,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,47.62%,0.1474,1.1827,,,,,,,,,,,
,,,,,,,,,,,,,,
80.00%,42.86%,0.5243,1.6862,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,61.90%,0.3291,1.2454,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,61.90%,0.4638,0.7755,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,14,,,,,88.00%,65.71%,0.41186,0.88398,,0.083666003,0.152072308,0.137980263,0.331421645
,,,,,,,,,,,,,,
80.00%,85.71%,0.5496,0.544,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,61.90%,0.3935,0.9055,,,,,,,,,,,
,,,,,,,,,,,,,,
80.00%,57.14%,0.4855,0.9257,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,76.19%,0.1873,0.646,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,47.62%,0.4434,1.3987,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,15,,,,,86.00%,59.05%,0.38386,1.15818,,0.054772256,0.098744048,0.110993752,0.204414902
,,,,,,,,,,,,,,
80.00%,66.67%,0.5717,1.2195,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,57.14%,0.3497,1.4068,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,61.90%,0.2838,0.9168,,,,,,,,,,,
,,,,,,,,,,,,,,
80.00%,66.67%,0.3833,1.267,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,42.86%,0.3308,0.9808,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,16,,,,,94.00%,67.62%,0.2954,1.00046,,0.054772256,0.052170586,0.126702092,0.091344201
,,,,,,,,,,,,,,
90.00%,66.67%,0.5014,1.0305,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,61.90%,0.2566,0.9999,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,66.67%,0.3214,1.0538,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,66.67%,0.2204,1.0735,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,76.19%,0.1772,0.8446,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,17,,,,,96.00%,59.05%,0.197,1.2385,,0.054772256,0.05430744,0.108347566,0.392428828
,,,,,,,,,,,,,,
100.00%,61.90%,0.1255,1.0362,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,52.38%,0.1408,1.9115,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,57.14%,0.3191,0.9536,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,57.14%,0.0908,1.2545,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,66.67%,0.3088,1.0367,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,18,,,,,90.00%,65.72%,0.28938,0.90802,,0.070710678,0.132127885,0.133180543,0.302980654
,,,,,,,,,,,,,,
90.00%,66.67%,0.2141,0.9921,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,71.43%,0.377,0.8432,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,76.19%,0.172,0.8223,,,,,,,,,,,
,,,,,,,,,,,,,,
80.00%,71.43%,0.4803,0.5251,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,42.86%,0.2035,1.3574,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,19,,,,,96.00%,62.86%,0.15692,1.11838,,0.054772256,0.07064604,0.066552926,0.195704451
,,,,,,,,,,,,,,
90.00%,61.90%,0.1709,1.0752,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,52.38%,0.178,1.4046,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,66.67%,0.0611,1.123,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,71.43%,0.2423,0.8554,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,61.90%,0.1323,1.1337,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,20,,,,,96.00%,77.14%,0.1736,0.68762,,0.054772256,0.052143187,0.057681193,0.242246573
,,,,,,,,,,,,,,
100.00%,85.71%,0.1023,0.5492,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,71.43%,0.1503,1.1097,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,76.19%,0.2465,0.6354,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,76.19%,0.1518,0.509,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,76.19%,0.2171,0.6348,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,21,,,,,94.00%,77.14%,0.23664,0.74222,,0.054772256,0.09160202,0.108328011,0.273601246
,,,,,,,,,,,,,,
100.00%,76.19%,0.1059,0.5659,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,80.95%,0.3991,0.4996,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,61.90%,0.2712,1.1982,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,80.95%,0.2091,0.7446,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.1979,0.7028,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,22,,,,,96.00%,81.91%,0.18568,0.52728,,0.054772256,0.085199783,0.099195827,0.171235867
,,,,,,,,,,,,,,
100.00%,80.95%,0.0948,0.7396,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,71.43%,0.1066,0.6097,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,90.48%,0.1598,0.3261,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,90.48%,0.2336,0.3791,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,76.19%,0.3336,0.5819,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,23,,,,,98.00%,77.14%,0.12326,0.71814,,0.04472136,0.07060221,0.086427299,0.169649088
,,,,,,,,,,,,,,
100.00%,66.67%,0.1335,0.8624,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.02,0.6945,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,76.19%,0.2492,0.797,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,76.19%,0.07,0.8023,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,80.95%,0.1436,0.4345,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,24,,,,,96.00%,78.09%,0.12578,0.78274,,0.089442719,0.152846613,0.110798272,0.433468053
,,,,,,,,,,,,,,
100.00%,85.71%,0.101,0.4966,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,95.24%,0.0501,0.3331,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,61.90%,0.0671,1.1775,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.0899,0.5972,,,,,,,,,,,
,,,,,,,,,,,,,,
80.00%,61.90%,0.3208,1.3093,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,25,,,,,100.00%,80.95%,0.09658,0.6886,,0,0.067351926,0.030848938,0.287295031
,,,,,,,,,,,,,,
100.00%,85.71%,0.1058,0.5995,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,76.19%,0.0757,1.078,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,76.19%,0.0551,0.5508,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,90.48%,0.1144,0.3443,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,76.19%,0.1319,0.8704,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,26,,,,,100.00%,75.00%,0.077925,0.828025,,0,0.152443812,0.017530996,0.306911631
,,,,,,,,,,,,,,
100.00%,80.95%,0.1028,0.6406,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,52.38%,0.0773,1.2801,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,85.71%,0.0637,0.6322,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,80.95%,0.0679,0.7592,,,,,,,,,,,
